movie_title,director_name,budget,content_rating,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,plot_keywords,imdb_score
Curious George ,Matthew O'Callaghan,50000000,G,78,Will Ferrell,Frank Welker,Alexander Gould,58336565,Adventure|Animation|Comedy|Family,hat|monkey|museum|shrine|yellow,6.6
Darling Lili ,Blake Edwards,25000000,G,143,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,5000000,Comedy|Drama|Musical|Romance|War,crepe suzette|french|mata hari spoof|song|spy,6.2
Doogal ,Dave Borthwick,20000000,G,77,Jimmy Fallon,Kylie Minogue,Jon Stewart,7382993,Adventure|Animation|Comedy|Family|Fantasy,diamond|lava|magic|mountain|sorcerer,2.8
Doug's 1st Movie ,Maurice Joyce,5000000,G,77,Frank Welker,Constance Shulman,Alice Playten,19421271,Animation|Comedy|Family,dance|friend|monster|reference to batman|valentine,5
Fantasia 2000 ,James Algar,80000000,G,74,Quincy Jones,Penn Jillette,Russi Taylor,60507228,Animation|Family|Fantasy|Music,abstract|ark|disney|fairy tale|piano,7.3
Fantasia ,James Algar,2280000,G,120,Leopold Stokowski,Deems Taylor,,76400000,Animation|Family|Fantasy|Music,apprentice|classical music|disney|mouse|orchestra,7.8
Fiddler on the Roof ,Norman Jewison,9000000,G,181,Topol,Paul Michael Glaser,Rosalind Harris,50000000,Drama|Family|Musical|Romance,immigration|jewish|pogrom|tradition|tradition versus modernity,8
Finding Nemo ,Andrew Stanton,94000000,G,100,Alexander Gould,Stephen Root,Brad Garrett,380838870,Adventure|Animation|Comedy|Family,great barrier reef|protective father|separation from family|shark|short term memory loss,8.2
Gone with the Wind ,Victor Fleming,3977000,G,226,Hattie McDaniel,George Reeves,Thomas Mitchell,198655278,Drama|History|Romance|War,battle of the sexes|gallantry|honesty|indifference|scandal,8.2
Hannah Montana: The Movie ,Peter Chelsom,30000000,G,102,Emily Osment,Vanessa Williams,Moises Arias,79566871,Comedy|Drama|Family|Music|Romance,farm|female protagonist|hannah montana|horseback riding|overalls,4.2
Herbie Fully Loaded ,Angela Robinson,50000000,G,101,Scoot McNairy,Thomas Lennon,Cheryl Hines,66002004,Adventure|Comedy|Family|Fantasy|Romance|Sport,automobile racing|car|mechanic|nascar|street racing,4.7
High School Musical 3: Senior Year ,Kenny Ortega,11000000,G,112,Lucas Grabeel,Matt Prokop,Corbin Bleu,90556401,Comedy|Drama|Family|Music|Musical|Romance,basketball|curtain call|graduation|high school|high school senior,4.5
"It's a Mad, Mad, Mad, Mad World ",Stanley Kramer,9400000,G,197,Jonathan Winters,Sid Caesar,Spencer Tracy,46300000,Action|Adventure|Comedy|Crime,california|desert|dying words|money|race,7.6
Jimmy Neutron: Boy Genius ,John A. Davis,30000000,G,82,Martin Short,Rob Paulsen,Andrea Martin,80920948,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|boy genius|children|genius|rescue,6
Jonah: A VeggieTales Movie ,Mike Nawrocki,14000000,G,82,Phil Vischer,Mike Nawrocki,Shelby Vischer,25571351,Adventure|Animation|Comedy|Drama|Family|Musical,anthropomorphism|pirate|pirate ship|tomato|whale,6.6
Justin Bieber: Never Say Never ,Jon M. Chu,13000000,G,115,Usher Raymond,Sean Kingston,Boys II Men,73000942,Documentary|Music,boyhood friend|manager|plasma tv|prodigy|star,1.6
Kit Kittredge: An American Girl ,Patricia Rozema,10000000,G,101,Julia Ormond,Jane Krakowski,Willow Smith,17655201,Drama|Family,boarding house|girl|great depression|house|ohio,6.7
Major Dundee ,Sam Peckinpah,3800000,G,152,James Coburn,Slim Pickens,Warren Oates,14873,Adventure|War|Western,apache|apache indian|confederate|mexico|scout,6.8
Mary Poppins ,Robert Stevenson,6000000,G,139,Ed Wynn,Glynis Johns,Elsa Lanchester,102300000,Comedy|Family|Fantasy|Musical,banker|female protagonist|live action and animation|magic|nanny,7.8
Modern Times ,Charles Chaplin,1500000,G,87,Paulette Goddard,Stanley Blystone,Fred Malatesta,163245,Comedy|Drama|Family,actor director writer|invention|machine|music score composed by director|tramp,8.6
Monsters University ,Dan Scanlon,200000000,G,104,Steve Buscemi,Tyler Labine,Sean Hayes,268488329,Adventure|Animation|Comedy|Family|Fantasy,cheating|fraternity|monster|singing in a car|university,7.3
"Monsters, Inc. ",Pete Docter,115000000,G,92,Steve Buscemi,John Ratzenberger,James Coburn,289907418,Adventure|Animation|Comedy|Family|Fantasy,friend|little girl|monster|rival|scream,8.1
Mulan ,Tony Bancroft,90000000,G,88,Ming-Na Wen,Harvey Fierstein,June Foray,120618403,Adventure|Animation|Family|Fantasy|Musical|War,based on poem|based on true story|china|one word title|the huns,7.5
Muppets from Space ,Tim Hill,24000000,G,87,Josh Charles,F. Murray Abraham,David Arquette,16290976,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,alien|breakfast|escape|rat|ufo,6.2
My Fair Lady ,George Cukor,17000000,G,170,Jeremy Brett,Rex Harrison,Theodore Bikel,72000000,Drama|Family|Musical|Romance,colonel|flower girl|professor|street|wager,7.9
Pinocchio ,Norman Ferguson,2600000,G,88,Mel Blanc,Dickie Jones,Cliff Edwards,84300000,Animation|Family|Fantasy|Musical,boy|conscience|fairy|jiminy cricket|pinocchio,7.5
Pocahontas ,Mike Gabriel,55000000,G,84,Christian Bale,Frank Welker,Irene Bedard,141600000,Adventure|Animation|Drama|Family|History|Musical|Romance,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,6.6
Pooh's Heffalump Movie ,Frank Nissen,20000000,G,68,Kath Soucie,Brenda Blethyn,John Fiedler,18081626,Animation|Family|Fantasy|Mystery,creature|forest|mother son relationship|rabbit|winnie the pooh,6.4
Ramona and Beezus ,Elizabeth Allen Rosenbaum,15000000,G,103,Sierra McCormick,Hutch Dano,Jason Spevack,26161406,Adventure|Comedy|Family|Fantasy,aunt|cat|death of pet|girl|no opening credits,6.7
Ratatouille ,Brad Bird,150000000,G,111,Janeane Garofalo,John Ratzenberger,Brian Dennehy,206435493,Animation|Comedy|Family|Fantasy,chef|food|french|rat|restaurant,8
Recess: School's Out ,Chuck Sheetz,23000000,G,82,Diedrich Bader,Andrew Lawrence,Dabney Coleman,36696761,Animation|Comedy|Family|Mystery|Sci-Fi,friend|principal|summer|summer camp|summer vacation,6.5
Return to Never Land ,Robin Budd,20000000,G,72,Roger Rees,Rob Paulsen,Spencer Breslin,48423368,Adventure|Animation|Family|Fantasy,1940s|gang that lives together|outlaw gang|rescue|sequel,5.8
Rio 2 ,Carlos Saldanha,103000000,G,101,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,131536019,Adventure|Animation|Comedy|Family|Musical,amazon|bird|father in law|jungle|no opening credits,6.4
Rio ,Carlos Saldanha,90000000,G,96,Anne Hathaway,Wanda Sykes,Will.i.am,143618384,Adventure|Animation|Comedy|Family|Musical,bird|brazilian|cockatoo|macaw|minnesota,7
Snow White and the Seven Dwarfs ,William Cottrell,2000000,G,83,Adriana Caselotti,Billy Gilbert,Lucille La Verne,184925485,Animation|Family|Fantasy|Musical,dwarf|love|princess|queen|snow white,7.7
Space Chimps ,Kirk De Micco,37000000,G,81,Cheryl Hines,Kenan Thompson,Omid Abtahi,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,astronaut|attacked by a plant|planet|senator|space travel,4.5
Spirit: Stallion of the Cimarron ,Kelly Asbury,80000000,G,83,Matt Damon,Charles Napier,Zahn McClarnon,73215310,Adventure|Animation|Family|Western,cavalry|escape|herd|stallion|wild stallion,7
The Adventures of Elmo in Grouchland ,Gary Halvorson,17000000,G,73,Vanessa Williams,Kevin Clash,Caroll Spinney,11634458,Adventure|Comedy|Family|Fantasy|Musical,based on tv series|blanket|box office flop|rescue|sesame street,5.8
The Country Bears ,Peter Hastings,35000000,G,88,Haley Joel Osment,Alex Rocco,Stephen Root,16988996,Comedy|Family|Music|Musical,animal in title|bear|box office flop|disney|satire,4
The Emperor's New Groove ,Mark Dindal,100000000,G,78,Eartha Kitt,Wendie Malick,John Fiedler,89296573,Adventure|Animation|Comedy|Family|Fantasy,antidote|disney|emperor|first part|llama,7.3
The Greatest Story Ever Told ,George Stevens,20000000,G,225,Martin Landau,Carroll Baker,José Ferrer,8000000,Biography|Drama|History,70mm film|biblical epic|faith|jewish|king herod,6.6
The Hunchback of Notre Dame ,Gary Trousdale,100000000,G,91,Demi Moore,Jason Alexander,Bill Fagerbakke,100117603,Animation|Drama|Family|Musical|Romance,15th century|cathedral|gypsy|paris|victor hugo,6.9
The Jungle Book 2 ,Steve Trenbirth,20000000,G,72,Haley Joel Osment,Phil Collins,Tony Jay,47887943,Adventure|Animation|Family|Musical,dog|jungle|shot gun|tiger|village,5.4
The Land Before Time ,Don Bluth,12500000,G,69,Judith Barsi,Gabriel Damon,Bill Erwin,48092846,Adventure|Animation|Family,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,7.3
The Lion King ,Roger Allers,45000000,G,73,Matthew Broderick,Nathan Lane,Niketa Calame,422783777,Adventure|Animation|Drama|Family|Musical,king|prince|scar|uncle|unnecessary guilt,8.5
The Magic Sword: Quest for Camelot ,Frederik Du Chau,40000000,G,86,Gary Oldman,Jaleel White,Eric Idle,22717758,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,camelot|dragon|excalibur|knight|sword,6.2
The Mighty Macs ,Tim Chambers,7000000,G,99,Ellen Burstyn,Marley Shelton,Jennifer Butler,1889522,Drama|Sport,basketball|catholic|coach|college|nun,6.5
The Muppet Christmas Carol ,Brian Henson,12000000,G,89,Steven Mackintosh,Jerry Nelson,Steve Whitmire,27281507,Comedy|Drama|Family|Fantasy|Musical,christmas|christmas eve|miser|muppet|scrooge,7.7
The Nutcracker ,Emile Ardolino,19000000,G,92,Darci Kistler,Kyra Nichols,Margaret Tracey,2119994,Family|Fantasy|Music,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,5.7
The Oogieloves in the Big Balloon Adventure ,Matthew Diamond,20000000,G,88,Chazz Palminteri,Garrett Clayton,Toni Braxton,1064277,Adventure|Family|Fantasy|Musical,balloon|birthday|box office flop|critically bashed,6.7
The Peanuts Movie ,Steve Martino,99000000,G,88,Francesca Capaldi,Venus Schultheis,Bill Melendez,130174897,Adventure|Animation|Comedy|Family,dog|girl|imagination|peanuts|red hair,7.2
The Pirates Who Don't Do Anything: A VeggieTales Movie ,Mike Nawrocki,15000000,G,85,Yuri Lowenthal,Cam Clarke,Phil Vischer,12701880,Adventure|Animation|Comedy|Family,17th century|king|pirate|vegetable|waiter,5.7
The Polar Express ,Robert Zemeckis,165000000,G,100,Tom Hanks,Eddie Deezen,Peter Scolari,665426,Adventure|Animation|Family|Fantasy,boy|christmas|christmas eve|north pole|train,6.6
The Princess and the Frog ,Ron Clements,105000000,G,97,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,104374107,Animation|Family|Fantasy|Musical|Romance,amphibian|dream|frog|frog prince|waitress,7.1
The Princess Diaries 2: Royal Engagement ,Garry Marshall,40000000,G,113,Anne Hathaway,Raven-Symoné,Hector Elizondo,95149435,Comedy|Family|Romance,coronation|horse|princess|queen|side saddle,5.7
The Princess Diaries ,Garry Marshall,37000000,G,111,Anne Hathaway,Hector Elizondo,Heather Matarazzo,108244774,Comedy|Family|Romance,cinderella story|fish out of water|makeover|manners|princess,6.2
The Rookie ,John Lee Hancock,20000000,G,127,Dennis Quaid,Jay Hernandez,Angus T. Jones,75597042,Drama|Family|Sport,baseball|coach|high school|pitching|texas,7
The Rugrats Movie ,Igor Kovalyov,24000000,G,83,Elizabeth Daily,Cree Summer,Christine Cavanaugh,100491683,Adventure|Animation|Comedy|Drama|Family|Musical,baby|home|hospital|lost|newborn baby,5.9
The Santa Clause 2 ,Michael Lembeck,60000000,G,104,Judge Reinhold,Aisha Tyler,Eric Lloyd,139225854,Comedy|Family|Fantasy,christmas|magic|santa claus|son|toy,5.5
The Sound of Music ,Robert Wise,8200000,G,174,Eleanor Parker,Angela Cartwright,Nicholas Hammond,163214286,Biography|Drama|Family|Musical|Romance,austria|children|governess|love|orchestral music score,8
The Tigger Movie ,Jun Falkenstein,30000000,G,77,Kath Soucie,John Fiedler,Ken Sansom,45542421,Animation|Comedy|Drama|Family|Musical,cartoon tiger|coming of age|tiger|tigger|title directed by female,6.3
The Wiz ,Sidney Lumet,24000000,G,118,Lena Horne,Diana Ross,Theresa Merritt,13000000,Adventure|Family|Fantasy|Music|Musical,melancholy|new york city|sadness|teacher|wizard,5.2
Toy Story 2 ,John Lasseter,90000000,G,82,Tom Hanks,John Ratzenberger,Wayne Knight,245823397,Adventure|Animation|Comedy|Family|Fantasy,collector|dog|friend|rescue|toy,7.9
Toy Story 3 ,Lee Unkrich,200000000,G,103,Tom Hanks,John Ratzenberger,Don Rickles,414984497,Adventure|Animation|Comedy|Family|Fantasy,college|day care|escape|teddy bear|toy,8.3
Toy Story ,John Lasseter,30000000,G,74,Tom Hanks,John Ratzenberger,Jim Varney,191796233,Adventure|Animation|Comedy|Family|Fantasy,claw crane|cowboy|jealousy|rivalry|toy,8.3
WALL·E ,Andrew Stanton,180000000,G,98,John Ratzenberger,Fred Willard,Jeff Garlin,223806889,Adventure|Animation|Family|Sci-Fi,earth|obesity|plant|robot|soil,8.4
Winnie the Pooh ,Stephen J. Anderson,30000000,G,63,Craig Ferguson,Robert Lopez,Huell Howser,26687172,Adventure|Animation|Comedy|Family|Musical,disney|owl|rabbit|sequel|tiger,7.3
Butch Cassidy and the Sundance Kid ,George Roy Hill,6000000,PG,110,Katharine Ross,Ted Cassidy,Kenneth Mars,102308900,Biography|Crime|Drama|Western,bolivia|gang|outlaw|posse|train,8.1
Inside Deep Throat ,Fenton Bailey,2000000,NC-17,89,Hugh M. Hefner,Bill Maher,Linda Lovelace,653621,Biography|Documentary|History,clitoris|deep throat|fellatio|oral sex|porn industry,6.8
L.I.E. ,Michael Cuesta,700000,NC-17,97,Adam LeFevre,Bruce Altman,Walter Masterson,1141829,Crime|Drama,ephebophile|pederasty|pedophilia|playing hooky|shaving,7.2
Orgazmo ,Trey Parker,1000000,NC-17,92,Trey Parker,Dian Bachar,Matt Stone,582024,Comedy|Sci-Fi,book of mormon|fight|mormon|ray gun|sidekick,6.2
Pink Flamingos ,John Waters,10000,NC-17,108,Divine,Mink Stole,Edith Massey,180483,Comedy|Crime|Horror,absurd humor|egg|gross out humor|lesbian|sex,6.1
Alone with Her ,Eric Nicholas,1000000,Not Rated,78,Jordana Spiro,Ana Claudia Talancón,Jonathon Trent,10018,Crime|Drama|Thriller,female nudity|female pubic hair|masturbation|panties|pubic hair,6.1
Burn ,Tom Putnam,225000,Not Rated,86,Brendan Doogie Milewski,Donald Austin,Craig Dougherty,111300,Documentary,abandoned building|detroit michigan|firefighter|michigan|urban setting,7.5
Cheap Thrills ,E.L. Katz,200000,Not Rated,88,Brighton Sharbino,Ethan Embry,Elissa Dowling,59379,Comedy|Crime|Drama|Horror|Thriller,cocaine|extramarital affair|sex|shooting|violence,6.8
Detention of the Dead ,Alex Craig Mann,500000,Not Rated,87,Justin Chon,Christa B. Allen,Max Adler,1332,Comedy|Horror,based on play|blood|independent film|teenager|zombie,4.6
Finishing the Game: The Search for a New Bruce Lee ,Justin Lin,500000,Not Rated,84,Monique Gabriela Curnen,Jake Sandvig,Joe McQueen,52850,Comedy,bruce lee|jeet kune do|karate|satire|spoof,6.2
Fuel ,Joshua Tickell,2500000,Not Rated,112,Larry David,Sheryl Crow,George W. Bush,173783,Documentary,alternative energy|energy|fuel|green|oil,7.6
Newlyweds ,Edward Burns,9000,Not Rated,95,Kerry Bishé,Caitlin FitzGerald,Daniella Pineda,4584,Comedy|Drama,written and directed by cast member,6.4
Not Cool ,Shane Dawson,600000,Not Rated,93,Shane Dawson,Kurt Angle,Cherami Leigh,35688,Comedy,,5.1
Nothing But a Man ,Michael Roemer,160000,Not Rated,95,Yaphet Kotto,Gloria Foster,Ivan Dixon,12438,Drama|Romance,1960s|father|railroad|town|worker,8.1
On the Waterfront ,Elia Kazan,910000,Not Rated,108,Marlon Brando,Karl Malden,Rod Steiger,9600000,Crime|Drama|Romance,death|dock|longshoreman|murder|union,8.2
Pink Narcissus ,James Bidgood,27000,Not Rated,65,Don Brooks,Bobby Kendall,,8231,Drama|Fantasy,male frontal nudity|male pubic hair|male rear nudity|pubic hair|street hustler,6.7
Some Like It Hot ,Billy Wilder,2883848,Not Rated,120,Nehemiah Persoff,Joe E. Brown,George Raft,25000000,Comedy|Music|Romance,all girl band|band|cross dressing|musician|yacht,8.3
The Best Years of Our Lives ,William Wyler,2100000,Not Rated,172,Myrna Loy,Teresa Wright,Dana Andrews,23650000,Drama|Romance|War,love|pity|readjusting to civilian life|veteran|world war two veteran,8.1
The Brown Bunny ,Vincent Gallo,10000000,Not Rated,93,Vincent Gallo,Cheryl Tiegs,Anna Vareschi,365734,Drama,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,5
The Ghastly Love of Johnny X ,Paul Bunnell,2000000,Not Rated,106,Kate Maberly,Kevin McCarthy,Paul Williams,2436,Comedy|Fantasy|Musical|Sci-Fi,1950s|independent film|outlaw|trial,5.7
The Greatest Show on Earth ,Cecil B. DeMille,4000000,Not Rated,152,Gloria Grahame,Dorothy Lamour,Cornel Wilde,36000000,Drama|Family|Romance,circus|clown|elephant trainer|trapeze|trapeze artist,6.7
The Lady from Shanghai ,Orson Welles,2300000,Not Rated,92,Rita Hayworth,Everett Sloane,Ted de Corsia,7927,Crime|Drama|Film-Noir|Mystery|Thriller,law partner|murder|partner|seaman|yacht,7.7
The Other Dream Team ,Marius A. Markevicius,500000,Not Rated,89,Tommy Sheppard,Greg Speirs,Mickey Hart,133778,Documentary|Sport,basketball|basketball team|grateful dead|lithuanian|olympics,8.4
Tiny Furniture ,Lena Dunham,65000,Not Rated,98,Lena Dunham,Merritt Wever,Jemima Kirke,389804,Comedy|Drama|Romance,adult returns home|girl with glasses|hipster|shower|title directed by female,6.3
The Wizard of Oz ,Victor Fleming,2800000,PG,102,Margaret Hamilton,Terry,Billie Burke,22202612,Adventure|Family|Fantasy|Musical,evil witch|tornado|witch|wizard|wizard of oz,8.1
2016: Obama's America ,Dinesh D'Souza,2500000,PG,87,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,33349949,Documentary,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,5.1
3 Men and a Baby ,Leonard Nimoy,11000000,PG,102,Tom Selleck,Ted Danson,Steve Guttenberg,167780960,Comedy|Drama|Family,1980s|baby|heroin|package|questioned by police,5.9
3 Ninjas Kick Back ,Charles T. Kanganis,20000000,PG,93,Victor Wong,Dustin Nguyen,Don Stark,11784000,Action|Comedy|Family,1990s|dagger|japan|mousetrap|stick fight,4.3
A Bridge Too Far ,Richard Attenborough,26000000,PG,175,Ryan O'Neal,Dirk Bogarde,Wolfgang Preiss,50800000,Drama|History|War,airborne troops|allies|operation market garden|panzer|paratrooper,7.4
A Christmas Carol ,Robert Zemeckis,200000000,PG,96,Robin Wright,Colin Firth,Gary Oldman,137850096,Animation|Drama|Family|Fantasy,charles dickens|christmas|christmas eve|ghost|scrooge,6.8
A Cinderella Story ,Mark Rosman,20000000,PG,95,Dan Byrd,Lin Shaye,Julie Gonzalo,51431160,Comedy|Family|Romance,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,5.9
A Dog of Flanders ,Kevin Brodie,7000000,PG,100,Bruce McGill,Cheryl Ladd,Jack Warden,2148212,Drama|Family,artist|box office flop|dog|drawing|flanders,6.3
A League of Their Own ,Penny Marshall,40000000,PG,128,Tom Hanks,Lori Petty,Rosie O'Donnell,107458785,Comedy|Drama|Sport,baseball|friend|oregon|rivalry|softball,7.2
A Simple Wish ,Michael Ritchie,28000000,PG,89,Mara Wilson,Francis Capra,Kathleen Turner,8119205,Comedy|Family|Fantasy,8 year old|convention|magic|magic wand|male fairy godmother,5.4
A Walk to Remember ,Adam Shankman,11000000,PG,101,Lauren German,Peter Coyote,Paz de la Huerta,41227069,Drama|Romance,community service|love|punishment|school|student,7.4
Agent Cody Banks 2: Destination London ,Kevin Allen,26000000,PG,100,Daniel Roebuck,Frankie Muniz,David Kelly,23222861,Action|Adventure|Comedy|Family|Romance|Sci-Fi,chase|evil scientist|gadget|mind control|tough girl,4.5
Agent Cody Banks ,Harald Zwart,26000000,PG,102,Daniel Roebuck,Frankie Muniz,Chris Gauthier,47285499,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,cia|nanobot|prep school|scientist|teenager,5
Air Bud ,Charles Martin Smith,3000000,PG,98,Kevin Zegers,Bill Cobbs,Michael Jeter,24629916,Comedy|Drama|Family|Sport,basketball|boy|dog|dog movie|golden retriever,5.1
Airborne ,Rob Bowman,2600000,PG,91,Alanna Ubach,Jacob Vargas,Brittney Powell,2850263,Adventure|Comedy|Sport,cincinnati ohio|high school|hockey|jock strap|zoologist,6.2
Airplane! ,Jim Abrahams,3500000,PG,88,Peter Graves,Lloyd Bridges,Barbara Billingsley,83400000,Comedy,air traffic controller|airplane|airport|pilot|spoof,7.8
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",Miguel Arteta,28000000,PG,81,Bella Thorne,Steve Carell,Jennifer Garner,66950483,Comedy|Family,bad day|based on book|birthday|job interview|long title,6.2
Alice in Wonderland ,Tim Burton,200000000,PG,108,Johnny Depp,Alan Rickman,Anne Hathaway,334185206,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,6.5
Alice Through the Looking Glass ,James Bobin,170000000,PG,113,Johnny Depp,Alan Rickman,Anne Hathaway,76846624,Adventure|Family|Fantasy,clock|dark fantasy|mad hatter|queen|sequel,6.4
Aliens in the Attic ,John Schultz,45000000,PG,86,Malese Jow,Carter Jenkins,Tim Meadows,25200412,Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|attic|boyfriend|mind control|nintendo ds,5.4
Alpha and Omega ,Anthony Bell,20000000,PG,90,Kevin Sussman,Larry Miller,Christine Lakin,25077977,Adventure|Animation|Comedy|Family|Romance,arranged marriage|geese|idaho|national park|park,5.3
Alvin and the Chipmunks: The Road Chip ,Walt Becker,90000000,PG,92,Bella Thorne,Joshua Mikel,Jesse McCartney,85884815,Adventure|Animation|Comedy|Family|Fantasy|Music,chipmunk|highway travel|on the road|plane|road movie,5
Alvin and the Chipmunks: The Squeakquel ,Betty Thomas,75000000,PG,88,Amy Poehler,Bridgit Mendler,Jesse McCartney,219613391,Animation|Comedy|Family|Fantasy|Music,adidas|chipmunk|hospital|school|waste container,4.5
Alvin and the Chipmunks ,Tim Hill,60000000,PG,92,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,217326336,Animation|Comedy|Family|Fantasy|Music,based on cartoon|chipmunk|concert|fart joke|talking animal,5.2
American Graffiti ,George Lucas,777000,PG,112,Harrison Ford,Ron Howard,Mackenzie Phillips,115000000,Comedy|Drama|Music,california|car|drag racing|high school|rock 'n' roll,7.5
Annie Hall ,Woody Allen,4000000,PG,93,Woody Allen,Carol Kane,Shelley Duvall,39200000,Comedy|Romance,breaking the fourth wall|comedian|jewish|neurosis|singer,8.1
Annie ,Will Gluck,65000000,PG,118,Quvenzhané Wallis,Dorian Missick,David Zayas,85911262,Comedy|Drama|Family|Musical,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,5.2
Antz ,Eric Darnell,105000000,PG,83,Sylvester Stallone,Woody Allen,Anne Bancroft,90646554,Adventure|Animation|Comedy|Family,ant|friend|princess|soldier|worker,6.6
Apollo 13 ,Ron Howard,62000000,PG,140,Tom Hanks,Miko Hughes,Kathleen Quinlan,172071312,Adventure|Drama|History,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,7.6
Aquamarine ,Elizabeth Allen Rosenbaum,12000000,PG,104,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,18595716,Comedy|Family|Fantasy|Romance,beach|love|mermaid|storm|swimming,5.3
Are We There Yet? ,Brian Levant,32000000,PG,95,Nia Long,Tracy Morgan,Jay Mohr,82301521,Adventure|Comedy|Family|Romance,car fire|children|cockroach|independent film|new year,4.6
Around the World in 80 Days ,Frank Coraci,110000000,PG,120,Jim Broadbent,Steve Coogan,Cécile De France,24004159,Action|Adventure|Comedy,19th century|around the world|inventor|martial arts|train,5.8
Atlantis: The Lost Empire ,Gary Trousdale,120000000,PG,95,Leonard Nimoy,Jim Varney,Cree Summer,84037039,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,atlantis|crew|expedition|journal|museum,6.8
August Rush ,Kirsten Sheridan,30000000,PG,114,Robin Williams,Aaron Staton,Marian Seldes,31655091,Drama|Music,baby|cellist|genius|prodigy|rhapsody,7.5
Baby Geniuses ,Bob Clark,18000000,PG,97,Kathleen Turner,Dom DeLuise,Ruby Dee,27141959,Comedy|Crime|Family|Sci-Fi,baby|boy|science|scientist|toddler,2.5
Baby's Day Out ,Patrick Read Johnson,50000000,PG,99,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,16671505,Adventure|Comedy|Crime|Drama|Family,baby|baby boy|kidnapping|kidnapping a child|taxi,5.9
Back to the Future Part II ,Robert Zemeckis,40000000,PG,108,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,118500000,Adventure|Comedy|Sci-Fi,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,7.8
Back to the Future Part III ,Robert Zemeckis,40000000,PG,118,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,87666629,Adventure|Comedy|Sci-Fi|Western,band|dog|letter|time machine|tombstone,7.4
