budget,content_rating,duration,Action Related,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,gross,
10000000,4,135,0,0,0,0,1,0,0,1,2185266,2000
15000000,4,112,0,0,0,0,1,0,0,1,4734235,2000
45000000,3,107,0,0,0,0,1,0,0,1,60786269,2000
24000000,2,115,0,0,0,0,1,0,0,1,32662299,2000
16000000,3,94,0,0,0,0,1,0,0,1,20627372,2000
9000000,3,91,0,0,0,0,1,0,0,1,20035310,2000
30000000,3,128,0,0,0,0,1,0,0,1,37036404,2000
150000,3,78,0,0,0,0,1,0,0,1,2882062,2000
25000000,3,99,0,0,0,0,1,0,0,1,14983572,2000
15000000,3,94,0,0,0,0,1,0,0,1,8735529,2000
15000000,3,120,0,0,0,0,1,0,0,1,33771174,2000
1000000,4,94,0,0,0,0,1,0,0,1,1744858,2000
123000000,2,110,0,0,0,0,1,0,0,0,260031035,2000
60000000,2,104,0,0,0,0,1,0,0,0,69688384,2000
60000000,2,90,0,0,0,0,1,0,0,0,35231365,2000
80000000,3,90,0,0,0,0,1,0,0,0,39442871,2000
48000000,3,93,0,0,0,0,1,0,0,0,37879996,2000
70000000,3,127,0,0,0,0,1,0,0,0,182805123,2000
8000000,4,92,0,0,0,0,1,0,0,0,5018450,2000
13000000,3,83,0,0,0,0,1,0,0,0,46729374,2000
20000000,3,98,0,0,0,0,1,0,0,0,15464026,2000
1000000,4,100,0,0,0,0,1,0,0,0,428535,2000
3000000,4,82,0,0,0,0,1,0,0,0,4142507,2000
65000000,3,109,0,0,0,0,1,0,0,0,123307945,2000
50000000,4,87,0,0,0,0,1,0,0,0,6291602,2000
10000000,3,98,0,0,0,0,1,0,0,0,68353550,2000
24000000,3,107,0,0,0,0,1,0,0,0,12372410,2000
50000000,3,118,0,0,0,0,1,0,0,0,44737059,2000
7000000,4,102,0,0,0,0,0,1,0,1,15047419,2000
40000000,4,107,0,0,0,0,0,1,0,1,29374178,2000
31000000,3,118,0,0,0,0,0,1,0,1,44983704,2000
24000000,4,115,0,0,0,0,0,1,0,1,882710,2000
8000000,4,120,0,0,0,0,0,1,0,1,16938179,2000
10000000,4,114,0,0,0,0,0,1,0,1,447750,2000
48000000,4,190,0,0,0,0,0,1,0,1,124107476,2000
33000000,4,97,0,0,0,0,0,1,0,0,28927720,2000
43000000,3,136,0,0,0,0,0,0,0,1,51768623,2000
40000000,3,123,0,0,0,0,0,0,0,1,33508922,2000
4500000,4,102,0,0,0,0,0,0,0,1,3609278,2000
225000,4,106,0,0,0,0,0,0,0,1,1027119,2000
1200000,4,111,0,0,0,0,0,0,0,1,9180275,2000
42000,6,90,0,0,0,0,0,0,0,1,241816,2000
5000000,2,95,0,0,0,0,0,0,0,1,34099640,2000
100000000,3,130,0,0,0,0,0,0,0,1,155370362,2000
60000000,3,126,0,0,0,0,0,0,0,1,30695227,2000
80000000,3,145,0,0,0,0,0,0,0,1,34566746,2000
28000000,4,97,0,0,0,0,0,0,0,1,16779636,2000
1800000,3,109,0,0,0,0,0,0,0,1,3050934,2000
500000,4,86,0,0,0,0,0,0,0,1,1114943,2000
18000000,3,115,0,0,0,0,0,0,0,1,17174870,2000
75000000,3,106,0,0,0,0,0,0,0,1,94999143,2000
15000000,3,105,0,0,0,0,0,0,0,1,5217498,2000
24000000,4,90,0,0,0,0,0,0,0,1,5108820,2000
40000000,3,103,0,0,0,0,0,0,0,1,37752931,2000
15000000,3,96,0,0,0,0,0,0,0,1,10494147,2000
15000000,3,124,0,0,0,0,0,0,0,1,27441122,2000
57000000,3,220,0,0,0,0,0,0,0,1,15527125,2000
20000000,4,126,0,0,0,0,0,0,0,1,17804273,2000
40000000,4,116,0,0,0,0,0,0,0,0,89138076,2000
14000000,4,97,0,0,0,0,0,0,0,0,21468807,2000
23000000,4,112,0,0,0,0,0,0,0,0,39235088,2000
65000000,3,91,0,0,0,0,0,0,0,0,14218868,2000
33000000,4,109,0,0,0,0,0,0,0,0,61280963,2000
23000000,4,98,0,0,0,0,0,0,0,0,53302314,2000
9000000,4,113,0,0,0,0,0,0,0,0,25530884,2000
70000000,2,95,1,1,1,0,1,1,0,0,13596911,2001
30000000,1,82,1,1,1,0,1,0,0,0,80920948,2001
120000000,2,95,1,1,1,0,0,0,0,0,84037039,2001
137000000,3,106,1,1,1,0,0,0,0,0,32131830,2001
35000000,2,88,1,1,0,0,1,0,0,0,112692062,2001
3000000,3,81,1,1,0,0,1,0,0,0,3293258,2001
38000000,3,110,1,1,0,0,0,0,0,1,623374,2001
22000000,3,104,1,1,0,0,0,0,0,0,5974653,2001
115000000,3,100,1,1,0,0,0,0,0,0,131144183,2001
98000000,3,130,1,1,0,0,0,0,0,0,202007640,2001
65000000,3,144,1,1,0,0,0,0,0,0,56083966,2001
93000000,3,92,1,1,0,0,0,0,0,0,181166115,2001
100000000,3,119,1,1,0,0,0,0,0,0,180011740,2001
100000000,3,119,1,1,0,0,0,0,0,0,180011740,2001
33000000,4,101,1,0,0,0,1,1,0,1,51758599,2001
35000000,2,94,1,0,0,0,1,1,0,0,33357476,2001
24000000,3,88,1,0,0,0,1,1,0,0,20218,2001
90000000,3,90,1,0,0,0,1,1,0,0,226138454,2001
42000000,4,125,1,0,0,0,1,1,0,0,15738632,2001
60000000,2,87,1,0,0,0,1,0,0,0,93375151,2001
30000000,3,109,1,0,0,0,0,1,0,1,10965209,2001
42000000,4,120,1,0,0,0,0,1,0,1,24375436,2001
38000000,3,106,1,0,0,0,0,1,0,0,144512310,2001
80000000,4,99,1,0,0,0,0,1,0,0,69772969,2001
140000000,3,184,1,0,0,0,0,0,0,1,198539855,2001
72000000,3,116,1,0,0,0,0,0,0,1,32616869,2001
60000000,4,131,1,0,0,0,0,0,0,1,18208078,2001
40000000,3,106,1,0,0,0,0,0,0,1,59068786,2001
28000000,4,98,1,0,0,0,0,0,0,0,8434601,2001
11000000,4,85,1,0,0,0,0,0,0,0,12610731,2001
49000000,3,85,1,0,0,0,0,0,0,0,43905746,2001
35000000,3,94,1,0,0,0,0,0,0,0,13264986,2001
115000000,1,92,0,1,1,0,1,0,0,0,289907418,2001
60000000,2,90,0,1,1,0,1,0,0,0,267652016,2001
7000000,2,113,0,1,0,1,0,0,0,1,4720371,2001
34000000,4,123,0,1,0,0,1,1,0,0,66808615,2001
17700000,3,91,0,1,0,0,1,0,0,1,27087695,2001
50000000,3,95,0,1,0,0,1,0,0,0,33422806,2001
13000000,3,84,0,1,0,0,1,0,0,0,5002310,2001
100000000,3,146,0,1,0,0,0,0,0,1,78616689,2001
23000000,1,82,0,0,1,0,1,0,0,0,36696761,2001
75000000,3,93,0,0,1,0,1,0,0,0,5409517,2001
48000000,3,132,0,0,0,1,1,0,0,1,29781453,2001
30000000,4,124,0,0,0,1,0,1,0,1,52937130,2001
58000000,3,135,0,0,0,1,0,0,0,1,170708996,2001
107000000,4,165,0,0,0,1,0,0,0,1,58183966,2001
30000000,4,108,0,0,0,0,1,0,0,0,145096820,2001
15000000,4,87,0,0,0,0,1,0,0,0,14249005,2001
22000000,4,104,0,0,0,0,1,0,0,0,30059386,2001
16000000,4,99,0,0,0,0,1,0,0,0,37882551,2001
45000000,4,83,0,0,0,0,1,0,0,0,71277420,2001
4000000,4,93,0,0,0,0,1,0,0,0,10097096,2001
11000000,4,95,0,0,0,0,1,0,0,0,13558739,2001
11000000,3,86,0,0,0,0,1,1,0,0,23978402,2001
45000000,3,94,0,0,0,0,1,1,0,0,32095318,2001
80000000,3,123,0,0,0,0,1,1,0,1,41523271,2001
5500000,4,99,0,0,0,0,1,1,0,1,56007,2001
5000000,4,95,0,0,0,0,1,1,0,1,5308707,2001
6000000,4,95,0,0,0,0,1,1,0,1,2025238,2001
12000000,2,91,0,0,0,0,1,1,0,0,17292381,2001
1200000,4,100,0,0,0,0,1,1,0,0,18488314,2001
26000000,3,103,0,0,0,0,1,1,0,0,7496522,2001
35000000,3,123,0,0,0,0,1,1,0,0,40334024,2001
22000000,3,96,0,0,0,0,1,1,0,0,19351569,2001
38000000,2,98,0,0,0,0,1,0,0,1,22770864,2001
7000000,4,111,0,0,0,0,1,0,0,1,6200756,2001
6000000,4,106,0,0,0,0,1,0,0,1,27457409,2001
1500000,4,96,0,0,0,0,1,0,0,1,703,2001
21000000,4,110,0,0,0,0,1,0,0,1,52353636,2001
40000000,3,114,0,0,0,0,1,0,0,1,70836296,2001
6000000,4,95,0,0,0,0,1,0,0,1,3029081,2001
1000000,4,97,0,0,0,0,1,0,0,1,7022940,2001
250000,4,91,0,0,0,0,1,0,0,1,4186931,2001
250000,6,100,0,0,0,0,1,0,0,1,902835,2001
34000000,3,108,0,0,0,0,1,0,0,1,19693891,2001
72000000,2,87,0,0,0,0,1,0,0,0,112950721,2001
37000000,1,111,0,0,0,0,1,0,0,0,108244774,2001
16000000,2,85,0,0,0,0,1,0,0,0,4356743,2001
30000000,3,87,0,0,0,0,1,0,0,0,64172251,2001
12000000,4,93,0,0,0,0,1,0,0,0,31155435,2001
48000000,3,123,0,0,0,0,1,0,0,0,47095453,2001
40000,2,90,0,0,0,0,1,0,0,0,110536,2001
1200000,4,88,0,0,0,0,1,0,0,0,58936,2001
14000000,3,86,0,0,0,0,1,0,0,0,10397365,2001
48000000,3,102,0,0,0,0,1,0,0,0,93607673,2001
22000000,3,87,0,0,0,0,1,0,0,0,11560259,2001
18000000,3,96,0,0,0,0,1,0,0,0,95001351,2001
28000000,3,82,0,0,0,0,1,0,0,0,49968653,2001
23000000,3,97,0,0,0,0,1,0,0,0,27338033,2001
500000,4,98,0,0,0,0,1,0,0,0,295468,2001
25000000,4,95,0,0,0,0,1,0,0,0,5516708,2001
6000000,4,90,0,0,0,0,1,0,0,0,22235901,2001
22000000,3,84,0,0,0,0,1,0,0,0,55762229,2001
11000000,3,89,0,0,0,0,1,0,0,0,13903262,2001
700000,5,97,0,0,0,0,0,1,0,1,1141829,2001
1700000,4,138,0,0,0,0,0,1,0,1,35918429,2001
1000000,3,119,0,0,0,0,0,1,0,1,798341,2001
30000000,3,106,0,0,0,0,0,1,0,1,17951431,2001
50000000,4,113,0,0,0,0,0,1,0,1,54997476,2001
45000000,4,124,0,0,0,0,0,1,0,1,19719930,2001
16000000,4,130,0,0,0,0,0,1,0,1,28734552,2001
60000000,4,104,0,0,0,0,0,1,0,1,74058698,2001
11000000,4,100,0,0,0,0,0,1,0,1,13103828,2001
68000000,4,124,0,0,0,0,0,1,0,1,71069884,2001
45000000,4,122,0,0,0,0,0,1,0,1,76261036,2001
53000000,3,89,0,0,0,0,0,1,0,0,45207112,2001
85000000,3,116,0,0,0,0,0,1,0,0,183405771,2001
22000000,3,132,0,0,0,0,0,0,0,1,40270895,2001
18000000,4,125,0,0,0,0,0,0,0,1,15561627,2001
1500000,4,98,0,0,0,0,0,0,0,1,406035,2001
35000000,4,111,0,0,0,0,0,0,0,1,11405825,2001
4500000,4,104,0,0,0,0,0,0,0,1,3287435,2001
92000000,4,152,0,0,0,0,0,0,0,1,108638745,2001
68000000,4,131,0,0,0,0,0,0,0,1,51396781,2001
14000000,3,84,0,0,0,0,0,0,0,1,3100650,2001
57000000,4,105,0,0,0,0,0,0,0,1,16991902,2001
22000000,3,104,0,0,0,0,0,0,0,1,4273372,2001
13000000,3,112,0,0,0,0,0,0,0,1,91038276,2001
52500000,3,127,0,0,0,0,0,0,0,1,57386369,2001
31000000,3,101,0,0,0,0,0,0,0,1,24185781,2001
48000000,3,120,0,0,0,0,0,0,0,1,50173190,2001
40000000,4,102,0,0,0,0,0,0,0,1,6114237,2001
72000000,2,152,0,0,0,0,0,0,0,1,27796042,2001
14000000,3,135,0,0,0,0,0,0,0,1,16929123,2001
40000000,3,119,0,0,0,0,0,0,0,1,25178165,2001
38000000,4,102,0,0,0,0,0,0,0,1,24044532,2001
4000000,4,112,0,0,0,0,0,0,0,1,31252964,2001
5000000,4,95,0,0,0,0,0,0,0,1,16017403,2001
4500000,4,133,0,0,0,0,0,0,0,1,727883,2001
21000000,3,106,0,0,0,0,0,0,0,1,40219708,2001
18000000,4,109,0,0,0,0,0,0,0,1,13491653,2001
17000000,3,101,0,0,0,0,0,0,0,0,96471845,2001
68000000,4,141,0,0,0,0,0,0,0,0,100614858,2001
20000000,4,91,0,0,0,0,0,0,0,0,41867960,2001
1500000,4,100,0,0,0,0,0,0,0,0,373967,2001
35000000,4,122,0,0,0,0,0,0,0,0,31598308,2001
10000000,4,96,0,0,0,0,0,0,0,0,20384136,2001
5000000,4,90,0,0,0,0,0,0,0,0,6755271,2001
23000000,4,97,0,0,0,0,0,0,0,0,21973182,2001
140000000,3,88,1,1,0,0,1,0,0,0,190418803,2002
38000000,2,100,1,1,0,0,1,0,0,0,85570368,2002
26000000,2,94,1,1,0,0,1,0,0,0,36985501,2002
70000000,3,116,1,1,0,0,1,0,0,0,30157016,2002
70000000,3,97,1,1,0,0,1,0,0,0,33105600,2002
94000000,3,172,1,1,0,0,0,0,0,1,340478898,2002
139000000,3,121,1,1,0,0,0,0,0,0,403706375,2002
115000000,2,142,1,1,0,0,0,0,0,0,310675583,2002
60000000,3,101,1,1,0,0,0,0,0,0,43060566,2002
60000000,3,100,1,1,0,0,0,0,0,0,90341670,2002
80000000,3,96,1,1,0,0,0,0,0,0,56684819,2002
60000000,3,116,1,1,0,0,0,0,0,0,43119879,2002
70000000,3,132,1,1,0,0,0,0,0,0,141204016,2002
10000000,3,81,1,0,0,0,1,0,0,0,16033556,2002
25000000,3,86,1,0,0,0,1,0,0,0,38230435,2002
63000000,3,94,1,0,0,0,1,1,0,0,213079163,2002
14000000,4,95,1,0,0,0,1,1,0,0,25482931,2002
30000000,3,99,1,0,0,0,1,0,0,0,17266505,2002
100000000,3,95,1,0,0,0,1,0,0,0,4411102,2002
60000000,3,98,1,0,0,0,1,0,0,0,50189179,2002
10000000,4,96,1,0,0,0,0,1,0,1,6044618,2002
50000000,4,110,1,0,0,0,0,1,0,1,26199517,2002
20000000,4,94,1,0,0,0,0,1,0,1,12398628,2002
70000000,4,91,1,0,0,0,0,1,0,0,14294842,2002
75000000,4,124,1,0,0,0,0,0,0,1,78120196,2002
20000000,4,107,1,0,0,0,0,0,0,1,1190018,2002
68000000,3,124,1,0,0,0,0,0,0,1,118471320,2002
85000000,4,108,1,0,0,0,0,0,0,1,40048332,2002
115000000,4,153,1,0,0,0,0,0,0,1,40911830,2002
54000000,4,117,1,0,0,0,0,0,0,0,81645152,2002
102000000,3,145,1,0,0,0,0,0,0,0,132014112,2002
60000000,3,119,1,0,0,0,0,0,0,0,121468960,2002
70000000,4,98,1,0,0,0,0,0,0,0,18990542,2002
80000000,2,85,0,1,1,0,1,0,0,1,145771527,2002
14000000,1,82,0,1,1,0,1,0,0,1,25571351,2002
3000000,2,76,0,1,1,0,1,0,0,0,13684949,2002
59000000,2,103,0,1,1,0,1,0,0,0,176387405,2002
120000000,2,77,0,1,1,0,1,0,0,0,64736114,2002
25000000,2,85,0,1,1,0,1,0,0,0,39880476,2002
20000000,1,72,0,1,1,0,0,0,0,0,48423368,2002
140000000,2,95,0,1,1,0,0,0,0,0,38120554,2002
80000000,1,83,0,1,1,0,0,0,0,0,73215310,2002
15000000,2,88,0,1,0,0,1,0,0,0,47811275,2002
15000000,2,88,0,1,0,0,1,0,0,0,47811275,2002
84000000,2,86,0,1,0,0,1,0,0,0,153288182,2002
3500000,4,103,0,1,0,0,0,0,0,1,236266,2002
3000000,4,113,0,0,0,1,1,0,1,0,19184015,2002
52000000,3,141,0,0,0,1,0,1,0,1,164435221,2002
7000000,4,105,0,0,0,1,0,1,0,1,2062066,2002
12500000,3,117,0,0,0,1,0,0,0,1,21078145,2002
