movie_title,director_name,budget,content_rating,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,Action Genre,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,Family Genre,Fantasy Genre,Horror Genre,Musical Genre,Mystery Genre,Romance Genre,Sci-Fi Genre,Sport Genre,Thriller Genre,War Genre,Western Genre,plot_keywords,imdb_score
Hercules ,Brett Ratner,100000000,3,101,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,72660029,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hat|monkey|museum|shrine|yellow,6.6
Hercules ,Brett Ratner,100000000,3,101,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,72660029,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,crepe suzette|french|mata hari spoof|song|spy,6.2
The Man in the Iron Mask ,Randall Wallace,35000000,3,132,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,56876365,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,diamond|lava|magic|mountain|sorcerer,2.8
Falcon Rising ,Ernie Barbarash,4500000,4,103,Michael Jai White,Michael J. Morris,Lateef Crowder,8691,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dance|friend|monster|reference to batman|valentine,5
Osmosis Jones ,Bobby Farrelly,70000000,2,95,Ron Howard,Brandy Norwood,David Hyde Pierce,13596911,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,abstract|ark|disney|fairy tale|piano,7.3
Big Hero 6 ,Don Hall,165000000,2,102,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,apprentice|classical music|disney|mouse|orchestra,7.8
The Iron Giant ,Brad Bird,70000000,2,90,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,23159305,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,immigration|jewish|pogrom|tradition|tradition versus modernity,8
Ice Age: Dawn of the Dinosaurs ,Carlos Saldanha,90000000,2,94,Denis Leary,Maile Flanagan,Kelly Keaton,196573705,Action|Adventure|Animation|Comedy|Family,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,great barrier reef|protective father|separation from family|shark|short term memory loss,8.2
Kung Fu Panda 2 ,Jennifer Yuh Nelson,150000000,2,90,Angelina Jolie Pitt,Gary Oldman,Mike Bell,165230261,Action|Adventure|Animation|Comedy|Family,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,battle of the sexes|gallantry|honesty|indifference|scandal,8.2
Kung Fu Panda 3 ,Alessandro Carloni,145000000,2,95,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,143523463,Action|Adventure|Animation|Comedy|Family,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,farm|female protagonist|hannah montana|horseback riding|overalls,4.2
Kung Fu Panda ,Mark Osborne,130000000,2,92,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,215395021,Action|Adventure|Animation|Comedy|Family,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,automobile racing|car|mechanic|nascar|street racing,4.7
Madagascar: Escape 2 Africa ,Eric Darnell,150000000,2,89,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,179982968,Action|Adventure|Animation|Comedy|Family,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,basketball|curtain call|graduation|high school|high school senior,4.5
How to Train Your Dragon 2 ,Dean DeBlois,145000000,2,102,Gerard Butler,Djimon Hounsou,America Ferrera,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,california|desert|dying words|money|race,7.6
Ice Age: The Meltdown ,Carlos Saldanha,80000000,2,115,Denis Leary,Ray Romano,Jay Leno,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,alien|boy genius|children|genius|rescue,6
Puss in Boots ,Chris Miller,130000000,2,90,Salma Hayek,Constance Marie,Amy Sedaris,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,anthropomorphism|pirate|pirate ship|tomato|whale,6.6
G-Force ,Hoyt Yeatman,150000000,2,88,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,boyhood friend|manager|plasma tv|prodigy|star,1.6
Jimmy Neutron: Boy Genius ,John A. Davis,30000000,1,82,Martin Short,Rob Paulsen,Andrea Martin,80920948,Action|Adventure|Animation|Comedy|Family|Sci-Fi,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,boarding house|girl|great depression|house|ohio,6.7
Mars Needs Moms ,Simon Wells,150000000,2,88,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,apache|apache indian|confederate|mexico|scout,6.8
Monsters vs. Aliens ,Rob Letterman,175000000,2,94,Amy Poehler,Rainn Wilson,Stephen Colbert,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,banker|female protagonist|live action and animation|magic|nanny,7.8
Aqua Teen Hunger Force Colon Movie Film for Theaters ,Matt Maiellaro,750000,4,86,Tina Fey,Fred Armisen,Chris Kattan,5518918,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,actor director writer|invention|machine|music score composed by director|tramp,8.6
9 ,Shane Acker,30000000,3,79,Martin Landau,Alan Oppenheimer,Tom Kane,31743332,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,cheating|fraternity|monster|singing in a car|university,7.3
The Incredibles ,Brad Bird,92000000,2,115,Holly Hunter,Craig T. Nelson,Lou Romano,261437578,Action|Adventure|Animation|Family,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,friend|little girl|monster|rival|scream,8.1
Legend of the Guardians: The Owls of Ga'Hoole ,Zack Snyder,80000000,2,101,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,55673333,Action|Adventure|Animation|Family|Fantasy,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,based on poem|based on true story|china|one word title|the huns,7.5
Atlantis: The Lost Empire ,Gary Trousdale,120000000,2,95,Leonard Nimoy,Jim Varney,Cree Summer,84037039,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,alien|breakfast|escape|rat|ufo,6.2
Digimon: The Movie ,Mamoru Hosoda,5000000,2,82,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,9628751,Action|Adventure|Animation|Family|Sci-Fi,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,colonel|flower girl|professor|street|wager,7.9
Titan A.E. ,Don Bluth,75000000,2,94,Matt Damon,Janeane Garofalo,Nathan Lane,22751979,Action|Adventure|Animation|Family|Sci-Fi,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,boy|conscience|fairy|jiminy cricket|pinocchio,7.5
Beowulf ,Robert Zemeckis,150000000,3,115,Robin Wright,Anthony Hopkins,Sebastian Roché,82161969,Action|Adventure|Animation|Fantasy,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,6.6
Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,137000000,3,106,Steve Buscemi,Ming-Na Wen,Jean Simmons,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,creature|forest|mother son relationship|rabbit|winnie the pooh,6.4
In the Heart of the Sea ,Ron Howard,100000000,3,122,Chris Hemsworth,Benjamin Walker,Frank Dillane,24985612,Action|Adventure|Biography|Drama|History|Thriller,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,aunt|cat|death of pet|girl|no opening credits,6.7
Around the World in 80 Days ,Frank Coraci,110000000,2,120,Jim Broadbent,Steve Coogan,Cécile De France,24004159,Action|Adventure|Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chef|food|french|rat|restaurant,8
Cutthroat Island ,Renny Harlin,98000000,3,124,Christopher Masterson,Frank Langella,Matthew Modine,11000000,Action|Adventure|Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friend|principal|summer|summer camp|summer vacation,6.5
Get Smart ,Peter Segal,80000000,3,110,Bill Murray,Dwayne Johnson,Anne Hathaway,130313314,Action|Adventure|Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940s|gang that lives together|outlaw gang|rescue|sequel,5.8
Shanghai Knights ,David Dobkin,50000000,3,114,Fann Wong,Anna-Louise Plowman,Georgina Chapman,60470220,Action|Adventure|Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amazon|bird|father in law|jungle|no opening credits,6.4
The Dukes of Hazzard ,Jay Chandrasekhar,50000000,3,107,Alice Greczyn,Jessica Simpson,Michael Weston,80270227,Action|Adventure|Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bird|brazilian|cockatoo|macaw|minnesota,7
The Man from U.N.C.L.E. ,Guy Ritchie,75000000,3,116,Henry Cavill,Elizabeth Debicki,Christian Berkel,45434443,Action|Adventure|Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dwarf|love|princess|queen|snow white,7.7
Hudson Hawk ,Michael Lehmann,70000000,4,100,Bruce Willis,James Coburn,Richard E. Grant,17218080,Action|Adventure|Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,astronaut|attacked by a plant|planet|senator|space travel,4.5
"It's a Mad, Mad, Mad, Mad World ",Stanley Kramer,9400000,1,197,Jonathan Winters,Sid Caesar,Spencer Tracy,46300000,Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cavalry|escape|herd|stallion|wild stallion,7
Johnny English Reborn ,Oliver Parker,45000000,2,101,Daniel Kaluuya,Tim McInnerny,Togo Igawa,8129455,Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,based on tv series|blanket|box office flop|rescue|sesame street,5.8
Kangaroo Jack ,David McNally,60000000,2,89,Estella Warren,Dyan Cannon,Bill Hunter,66734992,Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,animal in title|bear|box office flop|disney|satire,4
Austin Powers: The Spy Who Shagged Me ,Jay Roach,33000000,3,95,Muse Watson,Verne Troyer,Robert Wagner,205399422,Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,antidote|disney|emperor|first part|llama,7.3
Charlie's Angels: Full Throttle ,McG,120000000,3,107,Demi Moore,Bernie Mac,Justin Theroux,100685880,Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70mm film|biblical epic|faith|jewish|king herod,6.6
Nothing to Lose ,Steve Oedekerk,25000000,4,98,Kelly Preston,Michael McKean,Rebecca Gayheart,44455658,Action|Adventure|Comedy|Crime,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15th century|cathedral|gypsy|paris|victor hugo,6.9
Agent Cody Banks ,Harald Zwart,26000000,2,102,Daniel Roebuck,Frankie Muniz,Chris Gauthier,47285499,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,dog|jungle|shot gun|tiger|village,5.4
The Adventures of Ford Fairlane ,Renny Harlin,40000000,4,104,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,21413502,Action|Adventure|Comedy|Crime|Music|Mystery,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,7.3
Now You See Me 2 ,Jon M. Chu,90000000,3,129,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,64685359,Action|Adventure|Comedy|Crime|Mystery|Thriller,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,king|prince|scar|uncle|unnecessary guilt,8.5
Charlie's Angels ,McG,92000000,3,94,Bill Murray,LL Cool J,Kelly Lynch,125305545,Action|Adventure|Comedy|Crime|Thriller,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,camelot|dragon|excalibur|knight|sword,6.2
Six-String Samurai ,Lance Mungia,2000000,3,91,Jeffrey Falcon,Stephane Gauger,Kim De Angelo,124494,Action|Adventure|Comedy|Drama|Music|Sci-Fi,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,basketball|catholic|coach|college|nun,6.5
Chill Factor ,Hugh Johnson,34000000,4,102,David Paymer,Kevin J. O'Connor,Hudson Leick,11227940,Action|Adventure|Comedy|Drama|Thriller,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,christmas|christmas eve|miser|muppet|scrooge,7.7
Three Kings ,David O. Russell,48000000,4,114,Judy Greer,Jamie Kennedy,Mykelti Williamson,60652036,Action|Adventure|Comedy|Drama|War,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,5.7
Night at the Museum ,Shawn Levy,110000000,2,108,Robin Williams,Rami Malek,Steve Coogan,250863268,Action|Adventure|Comedy|Family|Fantasy,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,balloon|birthday|box office flop|critically bashed,6.7
Men in Black II ,Barry Sonnenfeld,140000000,3,88,Will Smith,Rosario Dawson,Rip Torn,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,dog|girl|imagination|peanuts|red hair,7.2
Journey 2: The Mysterious Island ,Brad Peyton,79000000,2,94,Josh Hutcherson,Dwayne Johnson,Kristin Davis,103812241,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,17th century|king|pirate|vegetable|waiter,5.7
Teenage Mutant Ninja Turtles III ,Stuart Gillard,17000000,2,96,Paige Turco,John Aylward,Matt Hill,42660000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,boy|christmas|christmas eve|north pole|train,6.6
Zathura: A Space Adventure ,Jon Favreau,65000000,2,101,Kristen Stewart,Josh Hutcherson,Jonah Bobo,28045540,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,amphibian|dream|frog|frog prince|waitress,7.1
Men in Black 3 ,Barry Sonnenfeld,225000000,3,106,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,coronation|horse|princess|queen|side saddle,5.7
National Treasure ,Jon Turteltaub,100000000,2,131,Nicolas Cage,Armando Riesco,Annie Parisse,173005002,Action|Adventure|Comedy|Family|Mystery,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,cinderella story|fish out of water|makeover|manners|princess,6.2
George of the Jungle ,Sam Weisman,55000000,2,92,Brendan Fraser,Abraham Benrubi,Holland Taylor,105263257,Action|Adventure|Comedy|Family|Romance,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,baseball|coach|high school|pitching|texas,7
Agent Cody Banks 2: Destination London ,Kevin Allen,26000000,2,100,Daniel Roebuck,Frankie Muniz,David Kelly,23222861,Action|Adventure|Comedy|Family|Romance|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,baby|home|hospital|lost|newborn baby,5.9
Inspector Gadget ,David Kellogg,75000000,2,110,Matthew Broderick,Rene Auberjonois,Rupert Everett,97360069,Action|Adventure|Comedy|Family|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,christmas|magic|santa claus|son|toy,5.5
Spy Kids 2: Island of Lost Dreams ,Robert Rodriguez,38000000,2,100,Steve Buscemi,Alexa PenaVega,Emily Osment,85570368,Action|Adventure|Comedy|Family|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,austria|children|governess|love|orchestral music score,8
Spy Kids 3-D: Game Over ,Robert Rodriguez,38000000,2,84,Sylvester Stallone,Salma Hayek,Alexa PenaVega,111760631,Action|Adventure|Comedy|Family|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,cartoon tiger|coming of age|tiger|tigger|title directed by female,6.3
Spy Kids: All the Time in the World in 4D ,Robert Rodriguez,27000000,2,89,Alexa PenaVega,Joel McHale,Daryl Sabara,38536376,Action|Adventure|Comedy|Family|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,melancholy|new york city|sadness|teacher|wizard,5.2
Spy Kids ,Robert Rodriguez,35000000,2,88,Alexa PenaVega,Cheech Marin,Daryl Sabara,112692062,Action|Adventure|Comedy|Family|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,collector|dog|friend|rescue|toy,7.9
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,Michael Pressman,25000000,2,88,Kevin Nash,Paige Turco,Ernie Reyes Jr.,78656813,Action|Adventure|Comedy|Family|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,college|day care|escape|teddy bear|toy,8.3
Small Soldiers ,Joe Dante,40000000,3,108,Kirsten Dunst,Denis Leary,Robert Picardo,53955614,Action|Adventure|Comedy|Family|Sci-Fi,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,claw crane|cowboy|jealousy|rivalry|toy,8.3
Big Trouble in Little China ,John Carpenter,25000000,3,99,Victor Wong,Kate Burton,Peter Kwong,11100000,Action|Adventure|Comedy|Fantasy,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,earth|obesity|plant|robot|soil,8.4
Last Action Hero ,John McTiernan,70000000,3,130,F. Murray Abraham,Tom Noonan,Joan Plowright,50016394,Action|Adventure|Comedy|Fantasy,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,disney|owl|rabbit|sequel|tiger,7.3
The Golden Child ,Michael Ritchie,25000000,3,94,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,79817937,Action|Adventure|Comedy|Fantasy|Mystery,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,bolivia|gang|outlaw|posse|train,8.1
The Brothers Grimm ,Terry Gilliam,88000000,3,118,Matt Damon,Heath Ledger,Mackenzie Crook,37899638,Action|Adventure|Comedy|Fantasy|Thriller,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,clitoris|deep throat|fellatio|oral sex|porn industry,6.8
Ishtar ,Elaine May,51000000,3,107,Carol Kane,Warren Beatty,Isabelle Adjani,14375181,Action|Adventure|Comedy|Music|Thriller,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,ephebophile|pederasty|pedophilia|playing hooky|shaving,7.2
Pootie Tang ,Louis C.K.,3000000,3,81,Wanda Sykes,J.B. Smoove,Robert Vaughn,3293258,Action|Adventure|Comedy|Musical,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,book of mormon|fight|mormon|ray gun|sidekick,6.2
Six Days Seven Nights ,Ivan Reitman,70000000,3,98,Harrison Ford,Anne Heche,Amy Sedaris,74329966,Action|Adventure|Comedy|Romance,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,absurd humor|egg|gross out humor|lesbian|sex,6.1
Howard the Duck ,Willard Huyck,35000000,2,110,Lea Thompson,Jeffrey Jones,Jordan Prentice,16295774,Action|Adventure|Comedy|Romance|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,female nudity|female pubic hair|masturbation|panties|pubic hair,6.1
Deadpool ,Tim Miller,58000000,4,108,Ryan Reynolds,Ed Skrein,Stefan Kapicic,363024263,Action|Adventure|Comedy|Romance|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,abandoned building|detroit michigan|firefighter|michigan|urban setting,7.5
Fool's Gold ,Andy Tennant,70000000,3,112,Matthew McConaughey,Ray Winstone,Alexis Dziena,70224196,Action|Adventure|Comedy|Romance|Thriller,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,cocaine|extramarital affair|sex|shooting|violence,6.8
The Mask of Zorro ,Martin Campbell,65000000,3,136,Anthony Hopkins,Tony Amendola,Stuart Wilson,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,based on play|blood|independent film|teenager|zombie,4.6
Ant-Man ,Peyton Reed,130000000,3,117,Judy Greer,Hayley Atwell,T.I.,180191634,Action|Adventure|Comedy|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bruce lee|jeet kune do|karate|satire|spoof,6.2
Suicide Squad ,David Ayer,175000000,3,123,Will Smith,Robin Atkin Downes,Ike Barinholtz,161087183,Action|Adventure|Comedy|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alternative energy|energy|fuel|green|oil,7.6
Teenage Mutant Ninja Turtles: Out of the Shadows ,Dave Green,135000000,3,112,Stephen Amell,Noel Fisher,Brad Garrett,81638674,Action|Adventure|Comedy|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,written and directed by cast member,6.4
Teenage Mutant Ninja Turtles ,Jonathan Liebesman,125000000,3,101,Noel Fisher,Danny Woodburn,Jeremy Howard,190871240,Action|Adventure|Comedy|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,5.1
Teenage Mutant Ninja Turtles ,Jonathan Liebesman,125000000,3,101,Noel Fisher,Danny Woodburn,Jeremy Howard,190871240,Action|Adventure|Comedy|Sci-Fi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1960s|father|railroad|town|worker,8.1
Clockstoppers ,Jonathan Frakes,26000000,2,94,Michael Biehn,Paula Garcés,Jason George,36985501,Action|Adventure|Comedy|Sci-Fi|Thriller,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,death|dock|longshoreman|murder|union,8.2
Bad Company ,Joel Schumacher,70000000,3,116,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,30157016,Action|Adventure|Comedy|Thriller,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,male frontal nudity|male pubic hair|male rear nudity|pubic hair|street hustler,6.7
I Spy ,Betty Thomas,70000000,3,97,Gary Cole,Phill Lewis,Tate Taylor,33105600,Action|Adventure|Comedy|Thriller,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,all girl band|band|cross dressing|musician|yacht,8.3
The Rundown ,Peter Berg,85000000,3,104,Dwayne Johnson,Rosario Dawson,Ewen Bremner,47592825,Action|Adventure|Comedy|Thriller,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,love|pity|readjusting to civilian life|veteran|world war two veteran,8.1
Shanghai Noon ,Tom Dey,55000000,3,110,Xander Berkeley,Jason Connery,Kate Luyben,56932305,Action|Adventure|Comedy|Western,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,5
