budget,content_rating,duration,Action Related,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,Family Genre
30000000,3,89,1,1,0,0,0,0,0,0,0
190000000,3,123,1,1,0,0,0,0,0,0,0
45000000,3,89,1,1,0,0,0,0,0,0,0
25000000,3,97,1,1,0,0,0,0,0,0,0
50000000,3,109,1,1,0,0,0,0,0,0,0
120000000,3,124,1,1,0,0,0,0,0,0,0
70000000,2,106,1,1,0,0,0,0,0,0,0
35000000,2,118,1,1,0,0,0,0,0,0,0
110000000,3,120,1,1,0,0,0,0,0,0,0
65000000,3,144,1,1,0,0,0,0,0,0,0
258000000,3,156,1,1,0,0,0,0,0,0,0
54000000,2,116,1,1,0,0,0,0,0,0,0
40000000,3,125,1,1,0,0,0,0,0,0,0
126000000,3,136,1,1,0,0,0,0,0,0,0
68000000,3,116,1,1,0,0,0,0,0,0,0
55000000,3,134,1,1,0,0,0,0,0,0,0
9000000,2,119,1,1,0,0,0,0,0,0,0
11000000,2,116,1,1,0,0,0,0,0,0,0
17000000,2,105,1,1,0,0,0,0,0,0,0
170000000,2,125,1,1,0,0,0,0,0,0,0
200000000,3,158,1,1,0,0,0,0,0,0,0
130000000,3,100,1,1,0,0,0,0,0,0,0
250000000,3,141,1,1,0,0,0,0,0,0,0
250000000,3,183,1,1,0,0,0,0,0,0,0
44000000,3,119,1,1,0,0,0,0,0,0,0
250000000,3,147,1,1,0,0,0,0,0,0,0
140000000,3,124,1,1,0,0,0,0,0,0,0
170000000,3,136,1,1,0,0,0,0,0,0,0
40000000,3,177,1,1,0,0,0,0,0,0,0
178000000,3,113,1,1,0,0,0,0,0,0,0
120000000,3,100,1,1,0,0,0,0,0,0,0
200000000,3,123,1,1,0,0,0,0,0,0,0
170000000,3,121,1,1,0,0,0,0,0,0,0
165000000,3,120,1,1,0,0,0,0,0,0,0
75000000,3,154,1,1,0,0,0,0,0,0,0
200000000,3,124,1,1,0,0,0,0,0,0,0
200000000,3,195,1,1,0,0,0,0,0,0,0
140000000,3,126,1,1,0,0,0,0,0,0,0
263700000,3,132,1,1,0,0,0,0,0,0,0
176000000,3,127,1,1,0,0,0,0,0,0,0
190000000,3,131,1,1,0,0,0,0,0,0,0
190000000,3,132,1,1,0,0,0,0,0,0,0
150000000,3,127,1,1,0,0,0,0,0,0,0
209000000,3,169,1,1,0,0,0,0,0,0,0
155000000,3,126,1,1,0,0,0,0,0,0,0
200000000,3,118,1,1,0,0,0,0,0,0,0
220000000,3,173,1,1,0,0,0,0,0,0,0
150000000,3,135,1,1,0,0,0,0,0,0,0
73000000,3,129,1,1,0,0,0,0,0,0,0
80000000,3,96,1,1,0,0,0,0,0,0,0
80000000,3,116,1,1,0,0,0,0,0,0,0
210000000,3,165,1,1,0,0,0,0,0,0,0
195000000,3,154,1,1,0,0,0,0,0,0,0
200000000,3,150,1,1,0,0,0,0,0,0,0
150000000,3,144,1,1,0,0,0,0,0,0,0
30000000,3,100,1,1,0,0,0,0,0,0,0
178000000,3,144,1,1,0,0,0,0,0,0,0
160000000,3,132,1,1,0,0,0,0,0,0,0
75000000,3,104,1,1,0,0,0,0,0,0,0
18500000,4,154,1,1,0,0,0,0,0,0,0
130000000,2,92,1,1,0,0,0,0,0,0,0
27800000,2,107,1,1,0,0,0,0,0,0,0
30000000,2,110,1,1,0,0,0,0,0,0,0
58000000,2,103,1,1,0,0,0,0,0,0,0
140000000,3,153,1,1,0,0,0,0,0,0,0
209000000,3,131,1,1,0,0,0,0,0,0,0
130000000,3,122,1,1,0,0,0,0,0,0,0
175000000,3,118,1,1,0,0,0,0,0,0,0
60000000,3,109,1,1,0,0,0,0,0,0,0
160000000,3,148,1,1,0,0,0,0,0,0,0
85000000,3,88,1,1,0,0,0,0,0,0,0
93000000,3,92,1,1,0,0,0,0,0,0,0
150000000,3,124,1,1,0,0,0,0,0,0,0
100000000,3,119,1,1,0,0,0,0,0,0,0
100000000,3,119,1,1,0,0,0,0,0,0,0
40000000,3,119,1,1,0,0,0,0,0,0,0
185000000,3,122,1,1,0,0,0,0,0,0,0
60000000,3,116,1,1,0,0,0,0,0,0,0
135000000,3,121,1,1,0,0,0,0,0,0,0
38000000,3,112,1,1,0,0,0,0,0,0,0
105000000,3,134,1,1,0,0,0,0,0,0,0
60000000,3,135,1,1,0,0,0,0,0,0,0
125000000,3,124,1,1,0,0,0,0,0,0,0
120000000,3,138,1,1,0,0,0,0,0,0,0
175000000,3,176,1,1,0,0,0,0,0,0,0
50000000,4,101,1,1,0,0,0,0,0,0,0
40000000,4,107,1,1,0,0,0,0,0,0,0
21000000,2,136,1,1,0,0,0,0,0,0,0
30000000,2,135,1,1,0,0,0,0,0,0,0
116000000,3,108,1,1,0,0,0,0,0,0,0
110000000,3,129,1,1,0,0,0,0,0,0,0
145000000,3,133,1,1,0,0,0,0,0,0,0
125000000,3,123,1,1,0,0,0,0,0,0,0
150000000,3,124,1,1,0,0,0,0,0,0,0
80000000,3,110,1,1,0,0,0,0,0,0,0
65000000,3,130,1,1,0,0,0,0,0,0,0
125000000,3,135,1,1,0,0,0,0,0,0,0
90000000,3,131,1,1,0,0,0,0,0,0,0
70000000,3,132,1,1,0,0,0,0,0,0,0
70000000,4,124,1,1,0,0,0,0,0,0,0
90000000,4,128,1,1,0,0,0,0,0,0,0
55000000,4,133,1,1,0,0,0,0,0,0,0
50000000,4,101,1,1,0,0,0,0,0,0,0
92000000,4,103,1,1,0,0,0,0,0,0,0
80000000,4,113,1,1,0,0,0,0,0,0,0
75000000,4,136,1,1,0,0,0,0,0,0,0
63000000,4,87,1,1,0,0,0,0,0,0,0
44000000,4,96,1,1,0,0,0,0,0,0,0
18000000,2,98,1,1,0,0,0,0,0,0,0
75000000,2,129,1,1,0,0,0,0,0,0,0
100000000,3,136,1,1,0,0,0,0,0,0,0
215000000,3,150,1,1,0,0,0,0,0,0,0
17500000,2,80,1,0,0,0,1,1,0,0,1
73000000,2,97,1,0,0,0,1,0,0,0,1
130000000,2,95,1,0,0,0,1,0,0,0,1
74000000,2,91,1,0,0,0,1,0,0,0,1
88000000,3,106,1,0,0,0,1,0,0,0,0
30000000,4,129,1,0,0,1,0,1,0,1,0
25000000,4,134,1,0,0,1,0,0,0,1,0
58800000,4,133,1,0,0,1,0,0,0,1,0
50000000,4,139,1,0,0,1,0,0,0,1,0
1100000,4,92,1,0,0,1,0,0,0,1,0
40000000,4,121,1,0,0,1,0,0,0,1,0
10000000,3,81,1,0,0,0,1,0,0,0,0
40000000,3,100,1,0,0,0,1,0,0,0,0
40000000,3,102,1,0,0,0,1,0,0,0,0
18000000,3,81,1,0,0,0,1,0,0,0,0
25000000,3,86,1,0,0,0,1,0,0,0,0
90000000,3,113,1,0,0,0,1,0,0,0,0
15000000,4,100,1,0,0,0,1,0,0,0,0
30000000,4,98,1,0,0,0,1,0,0,0,0
92000000,4,121,1,0,0,0,1,0,0,0,0
30000000,2,94,1,0,0,0,1,1,0,0,0
26000000,2,91,1,0,0,0,1,1,0,0,0
63000000,3,94,1,0,0,0,1,1,0,0,0
30000000,3,99,1,0,0,0,1,1,0,0,0
32000000,3,113,1,0,0,0,1,1,0,0,0
50000000,3,107,1,0,0,0,1,1,0,0,0
20000000,3,91,1,0,0,0,1,1,0,0,0
35000000,3,87,1,0,0,0,1,1,0,0,0
26000000,3,111,1,0,0,0,1,1,0,0,0
8200000,3,84,1,0,0,0,1,1,0,0,0
45000000,3,115,1,0,0,0,1,1,0,0,0
100000000,3,116,1,0,0,0,1,1,0,0,0
40000000,3,84,1,0,0,0,1,1,0,0,0
75000000,3,104,1,0,0,0,1,1,0,0,0
42000000,4,109,1,0,0,0,1,1,0,0,0
50000000,4,112,1,0,0,0,1,1,0,0,0
10000000,4,100,1,0,0,0,1,1,0,0,0
14000000,4,105,1,0,0,0,1,1,0,0,0
37000000,4,107,1,0,0,0,1,1,0,0,0
28000000,4,103,1,0,0,0,1,1,0,0,0
3000000,4,84,1,0,0,0,1,1,0,0,0
27000000,4,117,1,0,0,0,1,1,0,0,0
43000000,4,123,1,0,0,0,1,1,0,0,0
58000000,3,97,1,0,0,0,1,1,0,1,0
25000000,3,95,1,0,0,0,1,1,0,1,0
61000000,4,109,1,0,0,0,1,1,0,1,0
19000000,4,119,1,0,0,0,1,1,0,1,0
33000000,4,101,1,0,0,0,1,1,0,1,0
68000000,4,105,1,0,0,0,1,1,0,1,0
45000000,4,91,1,0,0,0,1,1,0,1,0
35000000,2,94,1,0,0,0,1,1,0,0,1
18000000,3,114,1,0,0,0,1,1,0,0,0
20000000,3,107,1,0,0,0,1,1,0,0,0
27000000,4,148,1,0,0,0,1,1,0,0,0
100000000,2,105,1,0,0,0,1,1,0,0,0
45000000,3,109,1,0,0,0,1,1,0,0,0
25000000,3,99,1,0,0,0,1,1,0,0,0
120000000,3,126,1,0,0,0,1,1,0,0,0
40000000,3,91,1,0,0,0,1,1,0,0,0
15000000,4,107,1,0,0,0,1,1,0,0,0
120000000,3,119,1,0,0,0,1,1,0,0,0
20000000,2,94,1,0,0,0,1,1,0,0,0
65000000,3,93,1,0,0,0,1,1,0,0,0
24000000,3,88,1,0,0,0,1,1,0,0,0
75000000,3,116,1,0,0,0,1,1,0,0,0
84000000,3,116,1,0,0,0,1,1,0,0,0
58000000,3,111,1,0,0,0,1,1,0,0,0
90000000,3,90,1,0,0,0,1,1,0,0,0
140000000,3,91,1,0,0,0,1,1,0,0,0
42000000,4,125,1,0,0,0,1,1,0,0,0
7000000,4,96,1,0,0,0,1,1,0,0,0
14000000,4,95,1,0,0,0,1,1,0,0,0
130000000,4,147,1,0,0,0,1,1,0,0,0
28000000,4,100,1,0,0,0,1,1,0,0,0
55000000,4,104,1,0,0,0,1,1,0,0,0
30000000,4,126,1,0,0,0,1,1,0,0,0
25000000,4,97,1,0,0,0,1,1,0,0,0
8000000,4,79,1,0,0,0,1,1,0,0,0
55000000,4,97,1,0,0,0,1,1,0,0,0
13000000,4,91,1,0,0,0,1,1,0,0,0
20000000,4,101,1,0,0,0,1,0,1,0,0
10000000,3,109,1,0,0,0,1,0,0,1,0
9000000,4,96,1,0,0,0,1,0,0,1,0
20000000,2,93,1,0,0,0,1,0,0,0,1
28000000,2,94,1,0,0,0,1,0,0,0,1
85000000,2,82,1,0,0,0,1,0,0,0,1
60000000,2,87,1,0,0,0,1,0,0,0,1
52000000,3,104,1,0,0,0,1,0,0,0,0
130000000,3,96,1,0,0,0,1,0,0,0,0
60000000,3,112,1,0,0,0,1,0,0,0,0
144000000,3,116,1,0,0,0,1,0,0,0,0
65000000,3,121,1,0,0,0,1,0,0,0,0
1000000,4,82,1,0,0,0,1,0,0,0,0
30000000,3,99,1,0,0,0,1,0,0,0,0
27000000,4,82,1,0,0,0,1,0,0,0,0
2300000,4,96,1,0,0,0,1,0,0,0,0
25000000,3,88,1,0,0,0,1,0,0,0,0
3500000,3,91,1,0,0,0,1,0,0,0,0
117000000,3,117,1,0,0,0,1,0,0,0,0
40000000,3,110,1,0,0,0,1,0,0,0,0
65000000,3,103,1,0,0,0,1,0,0,0,0
2000000,4,100,1,0,0,0,1,0,0,0,0
10000000,4,95,1,0,0,0,1,0,0,0,0
75000000,3,100,1,0,0,0,1,0,0,0,0
70000000,3,106,1,0,0,0,1,0,0,0,0
100000000,3,95,1,0,0,0,1,0,0,0,0
60000000,3,98,1,0,0,0,1,0,0,0,0
25000000,4,104,1,0,0,0,1,0,0,0,0
68000000,4,102,1,0,0,0,1,0,0,0,0
35000000,3,82,1,0,0,0,1,0,0,0,0
170000000,3,106,1,0,0,0,1,0,0,0,0
42000000,2,105,1,0,0,0,1,0,0,0,0
73000000,3,122,1,0,0,0,1,0,0,0,0
115000000,4,141,1,0,0,0,1,0,0,0,0
10000000,4,107,1,0,0,0,1,0,0,0,0
10000000,4,117,1,0,0,0,1,0,0,0,0
56000000,3,86,1,0,0,0,0,1,0,0,0
15000000,4,110,1,0,0,0,0,1,0,0,0
600000,3,106,1,0,0,0,0,1,0,1,0
10000000,4,96,1,0,0,0,0,1,0,1,0
27000000,3,123,1,0,0,0,0,1,0,1,0
25000000,3,97,1,0,0,0,0,1,0,1,0
22000000,3,114,1,0,0,0,0,1,0,1,0
70000000,4,133,1,0,0,0,0,1,0,1,0
50000000,4,110,1,0,0,0,0,1,0,1,0
36000000,4,93,1,0,0,0,0,1,0,1,0
90000000,4,140,1,0,0,0,0,1,0,1,0
45000000,4,109,1,0,0,0,0,1,0,1,0
52000000,4,113,1,0,0,0,0,1,0,1,0
60000000,4,101,1,0,0,0,0,1,0,1,0
61000000,4,124,1,0,0,0,0,1,0,1,0
30000000,4,121,1,0,0,0,0,1,0,1,0
30000000,4,110,1,0,0,0,0,1,0,1,0
40000000,4,115,1,0,0,0,0,1,0,1,0
50000000,4,118,1,0,0,0,0,1,0,1,0
65000000,4,121,1,0,0,0,0,1,0,1,0
15000000,4,94,1,0,0,0,0,1,0,1,0
9000000,4,123,1,0,0,0,0,1,0,1,0
13000000,4,121,1,0,0,0,0,1,0,1,0
7000,4,81,1,0,0,0,0,1,0,1,0
49000000,4,120,1,0,0,0,0,1,0,1,0
30000000,4,119,1,0,0,0,0,1,0,1,0
20000000,4,94,1,0,0,0,0,1,0,1,0
30000000,3,109,1,0,0,0,0,1,0,1,0
62000000,3,141,1,0,0,0,0,1,0,1,0
66000000,3,132,1,0,0,0,0,1,0,1,0
20000000,3,84,1,0,0,0,0,1,0,1,0
185000000,3,152,1,0,0,0,0,1,0,1,0
15000000,3,106,1,0,0,0,0,1,0,1,0
42000000,4,120,1,0,0,0,0,1,0,1,0
36000000,4,109,1,0,0,0,0,1,0,1,0
20000000,4,125,1,0,0,0,0,1,0,1,0
50000000,4,121,1,0,0,0,0,1,0,1,0
20000000,4,109,1,0,0,0,0,1,0,1,0
25000000,4,109,1,0,0,0,0,1,0,1,0
30000000,4,101,1,0,0,0,0,1,0,1,0
30000000,4,118,1,0,0,0,0,1,0,1,0
24000000,4,98,1,0,0,0,0,1,0,1,0
60000000,4,113,1,0,0,0,0,1,0,1,0
40000000,4,102,1,0,0,0,0,1,0,1,0
70000000,4,97,1,0,0,0,0,1,0,1,0
2000000,4,116,1,0,0,0,0,1,0,1,0
22000000,4,100,1,0,0,0,0,1,0,1,0
30000000,4,137,1,0,0,0,0,1,0,1,0
70000000,4,146,1,0,0,0,0,1,0,1,0
60000000,4,111,1,0,0,0,0,1,0,1,0
60000000,4,111,1,0,0,0,0,1,0,1,0
50000000,4,90,1,0,0,0,0,1,0,1,0
35000000,4,103,1,0,0,0,0,1,0,1,0
50000000,4,114,1,0,0,0,0,1,0,1,0
35000000,4,109,1,0,0,0,0,1,0,1,0
35000000,4,96,1,0,0,0,0,1,0,1,0
17000000,4,88,1,0,0,0,0,1,0,1,0
20000000,4,109,1,0,0,0,0,1,0,1,0
86000000,4,111,1,0,0,0,0,1,0,1,0
55000000,4,94,1,0,0,0,0,1,0,1,0
33000000,4,140,1,0,0,0,0,1,0,1,0
8500000,4,119,1,0,0,0,0,1,0,1,0
20000000,4,115,1,0,0,0,0,1,0,1,0
45000000,4,160,1,0,0,0,0,1,0,1,0
5000000,2,107,1,0,0,0,0,1,0,1,0
23000000,4,98,1,0,0,0,0,1,0,1,0
13000000,4,107,1,0,0,0,0,1,0,1,0
26000000,3,133,1,0,0,0,0,1,0,1,0
100000000,3,87,1,0,0,0,0,1,0,0,0
60000000,3,103,1,0,0,0,0,1,0,0,0
75000000,4,110,1,0,0,0,0,1,0,0,0
75000000,4,135,1,0,0,0,0,1,0,0,0
25000000,4,101,1,0,0,0,0,1,0,0,0
50000000,4,115,1,0,0,0,0,1,0,0,0
35000000,3,101,1,0,0,0,0,1,0,0,0
60000000,3,130,1,0,0,0,0,1,0,0,0
110000000,3,101,1,0,0,0,0,1,0,0,0
85000000,4,115,1,0,0,0,0,1,0,0,0
35000000,4,101,1,0,0,0,0,1,0,0,0
66000000,3,113,1,0,0,0,0,1,0,0,0
160000000,3,121,1,0,0,0,0,1,0,0,0
35000000,4,118,1,0,0,0,0,1,0,0,0
16000000,3,97,1,0,0,0,0,1,0,0,0
23500000,3,104,1,0,0,0,0,1,0,0,0
100000000,3,117,1,0,0,0,0,1,0,0,0
100000000,3,117,1,0,0,0,0,1,0,0,0
70000000,4,91,1,0,0,0,0,1,0,0,0
20000000,4,96,1,0,0,0,0,1,0,0,0
