movie_title,director_name,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,plot_keywords,language,country,content_rating,budget,imdb_score,aspect_ratio
"I, Frankenstein ",Stuart Beattie,92,Caitlin Stasey,Kevin Grevioux,Miranda Otto,19059018,Action|Fantasy|Sci-Fi|Thriller,army|creature|demon|frankenstein|gargoyle,English,Australia,PG-13,65000000,5.1,2.35
In the Cut ,Jane Campion,113,Jennifer Jason Leigh,Nick Damici,Susan Gardner,4717455,Mystery|Thriller,blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo,English,Australia,R,12000000,5.3,1.85
Jindabyne ,Ray Lawrence,118,John Howard,Deborra-Lee Furness,Max Cullen,399879,Crime|Drama|Mystery|Thriller,camp|fishing|fishing trip|river|town,English,Australia,R,15000000,6.4,2.35
Love and Other Catastrophes ,Emma-Kate Croghan,76,Radha Mitchell,Frances O'Connor,Matt Day,212285,Comedy|Romance,film school|love|medical student|student|university,English,Australia,R,250000,6.4,
Mad Max 2: The Road Warrior ,George Miller,87,Vernon Wells,Bruce Spence,Kjell Nilsson,9003011,Action|Adventure|Sci-Fi|Thriller,australian|gasoline|post apocalypse|refinery|warrior,English,Australia,R,2000000,7.6,2.35
Mad Max Beyond Thunderdome ,George Miller,107,Tina Turner,Bruce Spence,Angelo Rossitto,36200000,Action|Adventure|Sci-Fi|Thriller,arena|desert|fight|mad max|post apocalypse,English,Australia,PG-13,12305523,6.2,2.35
Mad Max: Fury Road ,George Miller,120,Tom Hardy,Charlize Theron,Zoë Kravitz,153629485,Action|Adventure|Sci-Fi|Thriller,australia|desert|escape|on the run|post apocalypse,English,Australia,R,150000000,8.1,2.35
Opal Dream ,Peter Cattaneo,86,Jacqueline McKenzie,Vince Colosimo,Peter Callan,13751,Drama|Family,friend|girl|imaginary friend|outback|town,English,Australia,PG,11400000,6.6,1.85
Psycho Beach Party ,Robert Lee King,85,Lauren Ambrose,Kathleen Robertson,Beth Broderick,265107,Comedy|Horror|Mystery,cliche|exchange student|slasher|spoof|surfing,English,Australia,Unrated,1500000,6.3,1.85
Quigley Down Under ,Simon Wincer,119,Alan Rickman,Tom Selleck,Ben Mendelsohn,21413105,Action|Adventure|Drama|Romance|Western,aborigine|australian|australian aborigine|australian outback|rancher,English,Australia,PG-13,20000000,6.8,2.35
Rabbit-Proof Fence ,Phillip Noyce,94,Roy Billing,David Gulpilil,Deborah Mailman,6165429,Adventure|Biography|Drama|History,aborigine|based on true story|colonialism|fence|half caste,Aboriginal,Australia,PG,6000000,7.5,2.35
Shine ,Scott Hicks,105,Noah Taylor,Armin Mueller-Stahl,Nicholas Bell,35811509,Biography|Drama|Music|Romance,abuse|australia|concert|pianist|piano,English,Australia,PG-13,5500000,7.7,1.85
The Blood of Heroes ,David Webb Peoples,90,Delroy Lindo,Joan Chen,Anna Katarina,882290,Action|Sci-Fi|Sport,battle|blood splatter|combat|game|showdown,English,Australia,R,10000000,6.5,1.33
The Children of Huang Shi ,Roger Spottiswoode,125,Radha Mitchell,Guang Li,Matthew Walker,1027749,Drama|War,british|communist|journalist|nurse|orphan,English,Australia,R,40000000,7.1,2.35
The Crocodile Hunter: Collision Course ,John Stainton,90,Steve Irwin,Aden Young,Steve Bastoni,28399192,Action|Adventure|Comedy|Family,cia|crocodile|satellite|snake|spider,English,Australia,PG,13000000,5.4,2.35
The Great Gatsby ,Baz Luhrmann,143,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,144812796,Drama|Romance,ingratitude|mansion|party|title appears in writing|tragedy,English,Australia,PG-13,105000000,7.3,2.35
The Lego Movie ,Phil Lord,100,Morgan Freeman,Will Ferrell,Alison Brie,257756197,Action|Adventure|Animation|Comedy|Family|Fantasy,based on toy|dual personality|evil businessman|good cop bad cop|lego,English,Australia,PG,60000000,7.8,2.35
The Matrix Revolutions ,Lana Wachowski,129,Essie Davis,Collin Chou,Nona Gaye,139259759,Action|Sci-Fi,battle|epic|fight|future|machine,English,Australia,R,150000000,6.7,2.35
The Phantom ,Simon Wincer,100,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,17300889,Action|Adventure|Comedy|Fantasy,ghost|new york city|phantom|skull|superhero,English,Australia,PG,45000000,4.9,2.35
The Proposition ,John Hillcoat,104,Ray Winstone,Noah Taylor,Danny Huston,1900725,Crime|Drama|Western,aborigine|foreboding|gang|hideout|outlaw,English,Australia,R,2000000,7.4,2.35
The Railway Man ,Jonathan Teplitzky,116,Jeremy Irvine,Colin Firth,Sam Reid,4435083,Biography|Drama|Romance|War,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,English,Australia,R,18000000,7.1,2.35
The Water Diviner ,Russell Crowe,111,Cem Yilmaz,Ryan Corr,Steve Bastoni,4190530,Drama|War,australian|battle|battle of gallipoli|gallipoli|world war one,English,Australia,R,22500000,7.1,2.35
Three to Tango ,Damon Santostefano,98,Matthew Perry,Oliver Platt,David Ramsey,10544143,Comedy|Romance,architect|award|farce|love|misunderstanding,English,Australia,PG-13,20000000,6.1,1.37
The Devil's Double ,Lee Tamahori,109,Mem Ferda,Dominic Cooper,Ludivine Sagnier,1357042,Biography|Drama|Thriller,betrayal|debauchery|lust|palace|saddam hussein,English,Belgium,R,15000000,7.1,2.35
Central Station ,Walter Salles,113,Fernanda Montenegro,Matheus Nachtergaele,Othon Bastos,5595428,Drama,brazil|letter|rio de janeiro brazil|sertao|teacher,Portuguese,Brazil,R,2900000,8,2.35
City of God ,Fernando Meirelles,135,Alice Braga,Seu Jorge,Alexandre Rodrigues,7563397,Crime|Drama,coming of age|male frontal nudity|male nudity|photographer|slum,Portuguese,Brazil,R,3300000,8.7,1.85
Elite Squad ,José Padilha,115,Wagner Moura,Fernanda Machado,André Ramiro,8060,Action|Crime|Drama|Thriller,brazil|military police|police|rio de janeiro brazil|slum,Portuguese,Brazil,R,4000000,8.1,1.85
Futuro Beach ,Karim Aïnouz,106,Wagner Moura,Clemens Schick,Jesuíta Barbosa,20262,Drama,gay|male frontal nudity|male nudity|male rear nudity|nudity,Portuguese,Brazil,Unrated,4000000,6.1,2.35
The Second Mother ,Anna Muylaert,112,Alex Huszar,Regina Casé,Luis Miranda,375723,Comedy|Drama,brazil|exam|housekeeper|northeast region of brazil|portuguese language,Portuguese,Brazil,R,4000000,7.9,2.35
Alone in the Dark ,Uwe Boll,94,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,5132655,Horror|Sci-Fi,artifact|creature|darkness|demon|museum,English,Canada,R,20000000,2.3,2.35
Barney's Great Adventure ,Steve Gomer,76,Trevor Morgan,Kyla Pratt,Shirley Douglas,11144518,Adventure|Family,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,English,Canada,G,15000000,2.8,1.85
Being Julia ,István Szabó,104,Miriam Margolyes,Shaun Evans,Juliet Stevenson,7739049,Comedy|Drama|Romance,diva|marriage|open marriage|revenge|social climber,English,Canada,R,18000000,7.1,1.85
Beyond the Black Rainbow ,Panos Cosmatos,110,Chris Gauthier,Marilyn Norry,Eva Bourne,56129,Sci-Fi|Thriller,exploitation|four word title|hallucinogen|lynchian|telepathy,English,Canada,R,1100000,6.1,2.35
Blindness ,Fernando Meirelles,121,Don McKellar,Joe Pingue,Yûsuke Iseya,3073392,Drama|Mystery|Sci-Fi|Thriller,blindness|epidemic|hospital|pubic hair|quarantine,English,Canada,R,25000000,6.6,1.85
Bride of Chucky ,Ronny Yu,89,Alexis Arquette,Park Bench,Vince Corazza,32368960,Comedy|Fantasy|Horror|Romance,blood|doll|gore|murder|serial killer,English,Canada,R,25000000,5.3,1.85
Capote ,Bennett Miller,110,Philip Seymour Hoffman,Michael J. Burg,Kwesi Ameyaw,28747570,Biography|Crime|Drama,book|holcomb kansas|kansas|killer|truman capote,English,Canada,R,7000000,7.4,2.35
Casino Jack ,George Hickenlooper,108,Kevin Spacey,Eric Schweig,Christian Campbell,1039869,Biography|Comedy|Crime|Drama,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,English,Canada,R,15000000,6.2,2.35
Cube ,Vincenzo Natali,90,David Hewlett,Julian Richings,Nicole de Boer,489220,Mystery|Sci-Fi|Thriller,escape|labyrinth|maze|red light|trap,English,Canada,R,365000,7.3,1.85
Defendor ,Peter Stebbings,95,Michael Kelly,Tony Nappo,Charlotte Sullivan,37606,Comedy|Crime|Drama,gun running|organized crime|pimp|superhero|vigilante,English,Canada,R,3500000,6.8,2.35
Dirty Work ,Bob Saget,82,Don Rickles,Jack Warden,Traylor Howard,9975684,Comedy,cult film|gambling debt|job|off screen murder|revenge,English,Canada,PG-13,13000000,6.4,1.85
Eddie: The Sleepwalking Cannibal ,Boris Rodriguez,83,Stephen McHattie,Thure Lindhardt,Georgina Reilly,1521,Comedy|Horror,art teacher|cannibal|inspiration|painter|sleepwalking,English,Canada,Not Rated,1500000,5.7,
Elektra ,Rob Bowman,100,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,24407944,Action|Crime|Fantasy|Thriller,assassin|battle|heroine|martial arts|spin off,English,Canada,PG-13,43000000,4.8,2.35
eXistenZ ,David Cronenberg,115,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,2840417,Horror|Sci-Fi|Thriller,assassin|game|game designer|pod|virtual reality,English,Canada,R,31000000,6.8,1.85
Exotica ,Atom Egoyan,103,Bruce Greenwood,Mia Kirshner,Sarah Polley,5132222,Drama|Mystery|Romance,bird|cult film|egg|nightclub|toronto,English,Canada,R,2000000,7.2,1.85
Eye of the Beholder ,Stephan Elliott,109,Jason Priestley,Patrick Bergin,Geneviève Bujold,16459004,Drama|Mystery|Thriller,chicago illinois|false identity|femme fatale|new york city|spying,English,Canada,R,15000000,4.9,2.35
Fido ,Andrew Currie,93,Alexia Fast,Henry Czerny,Kesun Loder,298110,Comedy|Drama|Horror|Sci-Fi,decapitation|neighbor|neighborhood|next door neighbor|zombie,English,Canada,R,8000000,6.8,2.35
Highlander: The Final Dimension ,Andrew Morahan,99,Christopher Lambert,Mako,Mario Van Peebles,13829734,Action|Fantasy|Romance|Sci-Fi,cave|highlander|illusion|immortal|japan,English,Canada,PG-13,26000000,4.3,2.35
Hobo with a Shotgun ,Jason Eisener,86,Gregory Smith,Robb Wells,Molly Dunsworth,703002,Action|Comedy|Thriller,hobo|pedophile|rampage|shotgun|vigilante,English,Canada,Not Rated,3000000,6.1,2.35
House at the End of the Street ,Mark Tonderai,101,Jennifer Lawrence,Nolan Gerard Funk,Gil Bellows,31607598,Drama|Horror|Thriller,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,English,Canada,PG-13,6900000,5.6,2.35
"I Love You, Beth Cooper ",Chris Columbus,102,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,14793904,Comedy|Romance,cheerleader|party|popular girl|speech|valedictorian,English,Canada,PG-13,18000000,5.3,1.85
In the Company of Men ,Neil LaBute,97,Stacy Edwards,Matt Malloy,Jason Dixie,2856622,Comedy|Drama,business trip|love|misogynist|office|secretary,English,Canada,R,25000,7.3,1.85
Incendies ,Denis Villeneuve,139,Lubna Azabal,Mélissa Désormeaux-Poulin,Ahmad Massad,6857096,Drama|Mystery|War,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,French,Canada,R,6800000,8.2,1.85
Inescapable ,Ruba Nadda,93,Saad Siddiqui,Bonnie Lee Bouman,Fadia Nadda,4063,Drama|Mystery|Romance|Thriller,,English,Canada,R,4000000,5.2,2.35
Insidious: Chapter 3 ,Leigh Whannell,97,Lin Shaye,Hayley Kiyoko,Leigh Whannell,52200504,Fantasy|Horror|Thriller,demon|possession|psychic|supernatural|teenager,English,Canada,PG-13,10000000,6.1,2.35
Josie and the Pussycats ,Harry Elfont,98,Rosario Dawson,Paulo Costanzo,Aries Spears,14252830,Comedy|Music,based on tv series|fictional band|girl band|music industry|pop band,English,Canada,PG-13,22000000,5.3,1.85
Land of the Dead ,George A. Romero,97,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,20433940,Horror,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,English,Canada,R,15000000,6.2,2.35
Mama ,Andrés Muschietti,100,Javier Botet,Megan Charpentier,Isabelle Nélisse,71588220,Fantasy|Horror,aunt|children|death of sister|forest|hiding in a closet,English,Canada,PG-13,20000000,6.2,1.85
Mambo Italiano ,Émile Gaudreault,92,Paul Sorvino,Luke Kirby,Claudia Ferri,6239558,Comedy|Drama,gay|immigrant|italian|police|police officer,English,Canada,R,5000000,6.7,1.85
Max Payne ,John Moore,103,Mila Kunis,Beau Bridges,Jamie Hector,40687294,Action|Crime|Drama|Mystery|Thriller,corporation|death|ex partner|hallucination|police detective,English,Canada,PG-13,35000000,5.4,2.35
Men with Brooms ,Paul Gross,102,Molly Parker,Paul Gross,Kari Matchett,4239767,Comedy|Drama|Romance|Sport,championship|coach|curling|marriage|rural setting,English,Canada,R,7500000,6,1.85
"Mystery, Alaska ",Jay Roach,119,Scott Grimes,Mary McCormack,Ron Eldard,8888143,Comedy|Drama|Sport,alaska|male nudity|nudity|sex|small town,English,Canada,R,28000000,6.7,2.35
Owning Mahowny ,Richard Kwietniowski,104,Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,1011054,Crime|Drama|Thriller,bank|bank fraud|bank manager|gambling|toronto,English,Canada,R,10000000,7.2,2.35
"Pink Ribbons, Inc. ",Léa Pool,97,,,,24784,Documentary,breast cancer|comma in title|period in title|punctuation in title|three word title,English,Canada,Not Rated,1200000,7.4,
Pompeii ,Paul W.S. Anderson,105,Sasha Roiz,Currie Graham,Dylan Schombing,23219748,Action|Adventure|Drama|History|Romance,arena|lava bomb|mount vesuvius|pompeii|slave,English,Canada,PG-13,80000000,5.6,2.35
Pontypool ,Bruce McDonald,95,Stephen McHattie,Georgina Reilly,Boyd Banks,3478,Fantasy|Horror,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,English,Canada,Not Rated,1500000,6.7,2.35
Porky's ,Bob Clark,94,Art Hindle,Susan Clark,Tony Ganios,105500000,Comedy,female full frontal nudity|revenge|school|sheriff|virginity,English,Canada,R,4000000,6.2,1.85
Rat Race ,Jerry Zucker,112,Corinna Harney,Douglas Haase,Vince Vieluf,56607223,Adventure|Comedy,casino|locker|money|museum|race,English,Canada,PG-13,48000000,6.4,2.35
Saint Ralph ,Michael McGowan,98,Campbell Scott,Adam Butcher,Gordon Pinsent,795126,Comedy|Drama|Sport,boston marathon|coma|marathon|miracles|running,English,Canada,PG-13,6000000,7.6,1.85
Saw 3D: The Final Chapter ,Kevin Greutert,90,Costas Mandylor,Gina Holden,Betsy Russell,45670855,Horror|Mystery,blood splatter|self help guru|sequel|support group|survivor,English,Canada,R,20000000,5.6,1.85
Saw VI ,Kevin Greutert,92,Costas Mandylor,Shawnee Smith,George Newbern,27669413,Horror|Mystery,deception|flash photography|game of death|jigsaw|pig mask,English,Canada,R,11000000,6,1.85
Silent Hill ,Christophe Gans,132,Radha Mitchell,Deborah Kara Unger,Alice Krige,46982632,Adventure|Horror|Mystery,gothic|police|police officer|silent hill|sleepwalking,English,Canada,R,50000000,6.6,2.35
Slackers ,Dewey Nicks,86,Jaime King,Gedde Watanabe,Jim Rash,4814244,Comedy|Romance,blackmail|fall|love|nerd|scam,English,Canada,R,11000000,5.3,1.85
Slither ,James Gunn,95,Dustin Milligan,Gregg Henry,Tania Saulnier,7774730,Comedy|Horror|Sci-Fi,alien|b movie|sex|slug|small town,English,Canada,R,15500000,6.5,1.85
Smoke Signals ,Chris Eyre,89,Michael Greyeyes,Irene Bedard,Gary Farmer,6719300,Comedy|Drama,family abandonment|fire|loss of father|native american protagonist|native american reservation,English,Canada,PG-13,2000000,7.2,1.85
Snow Dogs ,Brian Levant,99,James Coburn,Nichelle Nichols,M. Emmet Walsh,81150692,Adventure|Comedy|Family|Sport,dentist|dog|inheritance|race|sled dog,English,Canada,PG,35000000,5.1,1.85
Spider ,David Cronenberg,98,Miranda Richardson,John Neville,Lynn Redgrave,1641788,Drama|Mystery|Thriller,halfway house|key|reality|schizophrenia|spider,English,Canada,R,8000000,6.8,1.78
Splice ,Vincenzo Natali,104,Sarah Polley,David Hewlett,Delphine Chanéac,16999046,Drama|Horror|Sci-Fi,dna|experiment|genetics|interspecies sex|scientist,English,Canada,R,26000000,5.8,1.85
Street Fighter: The Legend of Chun-Li ,Andrzej Bartkowiak,96,Chris Klein,Robin Shou,Josie Ho,8742261,Action|Crime|Drama|Mystery|Thriller,chun li|crime fighter|gangster|mobster|rescue,English,Canada,PG-13,18000000,3.7,2.35
The Barbarian Invasions ,Denys Arcand,112,Marie-Josée Croze,Stéphane Rousseau,Marina Hands,3432342,Comedy|Crime|Drama|Mystery|Romance,cancer|dying|friend|money|socialist,French,Canada,R,6000000,7.7,2.35
The Masked Saint ,Warren P. Sonoda,105,Diahann Carroll,Mykel Shannon Jenkins,Lara Jean Chorostecki,123777,Action|Biography|Crime|Drama|Family|Fantasy,,English,Canada,PG-13,3500000,4.7,1.85
The Nut Job ,Peter Lepeniotis,85,Liam Neeson,Brendan Fraser,Sarah Gadon,64238770,Adventure|Animation|Comedy|Family,bank robbery|heist|raccoon|rat|squirrel,English,Canada,PG,42000000,5.8,1.85
The Pacifier ,Adam Shankman,95,Vin Diesel,Brad Garrett,Tate Donovan,113006880,Action|Comedy|Drama|Family|Thriller,bodyguard|death of husband|male nanny|nanny|wrestling match,English,Canada,PG,56000000,5.5,2.35
The Perfect Game ,William Dear,118,Clifton Collins Jr.,Cheech Marin,Bruce McGill,1089445,Comedy|Drama|Family|Sport,baseball movie|little league|little league baseball|mexico|three word title,English,Canada,PG,12500000,7,2.35
The Red Violin ,François Girard,130,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,9473382,Drama|Music|Mystery|Romance,auction|montreal|secret|violin|violinist,French,Canada,R,10000000,7.7,1.85
The Statement ,Norman Jewison,120,Charlotte Rampling,Colin Salmon,John Neville,763044,Drama|Thriller,eiffel tower|nazi|police|ritual|stew,English,Canada,R,23000000,6.2,1.85
The Sweet Hereafter ,Atom Egoyan,112,Bruce Greenwood,Sarah Polley,Simon Baker,4306697,Drama,anger|bus|child|lawyer|school,English,Canada,R,5000000,7.7,2.35
The Visual Bible: The Gospel of John ,Philip Saville,125,Henry Ian Cusick,Alan Van Sprang,Scott Handy,4068087,Biography|Drama|History,1st century|based on the bible|miracle|religion|resurrection,English,Canada,PG-13,17000000,7.7,1.85
Timecop ,Peter Hyams,99,Mia Sara,Bruce McGill,Gloria Reuben,44450000,Action|Crime|Sci-Fi|Thriller,cop|corrupt politician|future|senator|time travel,English,Canada,R,27000000,5.8,2.35
Where the Truth Lies ,Atom Egoyan,107,Colin Firth,Alison Lohman,Rachel Blanchard,871527,Crime|Drama|Mystery|Thriller,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,English,Canada,R,25000000,6.5,2.35
Willard ,Glen Morgan,100,Laura Harring,Ty Olsson,Jackie Burroughs,6852144,Drama|Horror|Sci-Fi|Thriller,at work|rat|revenge|vermin|work,English,Canada,PG-13,22000000,6.2,2.35
X-Men 2 ,Bryan Singer,134,Hugh Jackman,Bruce Davison,Aaron Stanford,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,mutant|prison|professor|school|x men,English,Canada,PG-13,110000000,7.5,2.35
X-Men: The Last Stand ,Brett Ratner,104,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,battle|mutant|outrage|walking through a wall|x men,English,Canada,PG-13,210000000,6.8,2.35
The 33 ,Patricia Riggen,127,Marco Treviño,James Brolin,Jacob Vargas,12188642,Biography|Drama|History,disaster movie|mine|minister|president|trapped in a mine,English,Chile,PG-13,26000000,6.9,2.35
1911 ,Li Zhang,121,Bingbing Li,Joan Chen,Jaycee Chan,127437,Action|Adventure|Drama|History|War,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,Mandarin,China,R,18000000,6,2.35
City of Life and Death ,Chuan Lu,132,Ye Liu,Yuanyuan Gao,Ryu Kohata,119922,Drama|History|War,atrocity|battle|chinese|horseback riding|martial arts,Mandarin,China,R,12000000,7.7,2.35
Curse of the Golden Flower ,Yimou Zhang,114,Li Gong,Ye Liu,Man Li,6565495,Drama|Romance,china|chrysanthemum|emperor|empress|prince,Mandarin,China,R,45000000,7,2.35
Dragon Blade ,Daniel Lee,103,Si Won Choi,Peng Lin,Sung-jun Yoo,72413,Action|Adventure|Drama|History,child fugitive|final battle|martial art|silk road|sword,Mandarin,China,R,65000000,6.1,2.35
Hero ,Yimou Zhang,80,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,84961,Action|Adventure|History,china|flying|king|palace|sword,Mandarin,China,PG-13,31000000,7.9,2.35
House of Flying Daggers ,Yimou Zhang,119,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,11041228,Action|Adventure|Drama|Romance,flying|flying dagger|government|police|secret,Mandarin,China,PG-13,100000000,7.6,2.35
Mission: Impossible - Rogue Nation ,Christopher McQuarrie,131,Tom Cruise,Jeremy Renner,Sean Harris,195000874,Action|Adventure|Thriller,capture|computer hacker|mission|rogue agent|spy,English,China,PG-13,150000000,7.4,2.35
Red Cliff ,John Woo,150,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao,626809,Action|Adventure|Drama|History|War,alliance|battle|china|chinese|strategy,Mandarin,China,R,553632000,7.4,2.35
Snow Flower and the Secret Fan ,Wayne Wang,104,Bingbing Li,Russell Wong,Ji-hyun Jun,1346503,Drama|History,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,English,China,PG-13,6000000,6.1,2.35
The Flowers of War ,Yimou Zhang,146,Christian Bale,Ni Ni,Shigeo Kobayashi,9213,Drama|History|Romance|War,abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,Mandarin,China,R,94000000,7.6,2.35
The Last Emperor ,Bernardo Bertolucci,219,Cary-Hiroyuki Tagawa,Joan Chen,Victor Wong,43984230,Biography|Drama|History,abdication|china|emperor|forbidden city|republic,English,China,PG-13,23000000,7.8,2.35
The Painted Veil ,John Curran,125,Toby Jones,Sally Hawkins,Alan David,8047690,Drama|Romance,china|cholera|epidemic|love|marriage,Mandarin,China,PG-13,19400000,7.5,2.35
The Promise ,Kaige Chen,103,Dong-gun Jang,Toby Leonard Moore,Nicholas Tse,668171,Action|Drama|Fantasy,armor|general|king|princess|slave,Mandarin,China,PG-13,60000000,5.6,2.35
Maria Full of Grace ,Joshua Marston,101,Catalina Sandino Moreno,Wilson Guerrero,Yenny Paola Vega,6517198,Crime|Drama,colombia|colombian|drug mule|money|stomach,Spanish,Colombia,R,3000000,7.5,1.85
Child 44 ,Daniel Espinosa,137,Tom Hardy,Fares Fares,Michael Nardone,1206135,Crime|Drama|Thriller,child murderer|murder|sex|soviet union|woman slaps a man,English,Czech Republic,R,50000000,6.4,2.35
I Served the King of England ,Jirí Menzel,113,Julia Jentsch,Ivan Barnev,Milan Lasica,617228,Comedy|Drama|Romance|War,hotel|legs|lingerie|waiter|wealth,Czech,Czech Republic,R,84450000,7.4,1.85
Ravenous ,Antonia Bird,101,Jeremy Davies,Jeffrey Jones,David Arquette,2060953,Fantasy|Horror|Thriller,based on true story|cannibalism|captain|mexican american war|u.s. frontier,English,Czech Republic,R,12000000,7.1,2.35
