budget,content_rating,duration,gross
2000000,4,100,13746550
10000000,4,95,8460995
75000000,3,100,47000485
70000000,3,106,37754208
100000000,3,95,4411102
60000000,3,98,50189179
25000000,4,104,4064333
68000000,4,102,34350553
35000000,3,82,25871834
170000000,3,106,113745408
42000000,2,105,45290318
73000000,3,122,148213377
115000000,4,141,146282411
10000000,4,107,578527
10000000,4,117,85300000
56000000,3,86,45860039
15000000,4,110,30102717
600000,3,106,171988
10000000,4,96,6044618
27000000,3,123,10297897
25000000,3,97,23527955
22000000,3,114,50728000
70000000,4,133,7097125
50000000,4,110,26199517
36000000,4,93,50129186
90000000,4,140,111544445
45000000,4,109,74484168
52000000,4,113,34636443
60000000,4,101,40076438
61000000,4,124,46975183
30000000,4,121,46875468
30000000,4,110,15156200
40000000,4,115,10640645
50000000,4,118,25450527
65000000,4,121,33328051
15000000,4,94,22189039
9000000,4,123,36049108
13000000,4,121,12281500
7000,4,81,2040920
49000000,4,120,31569268
30000000,4,119,66468315
20000000,4,94,12398628
30000000,3,109,10965209
62000000,3,141,122012710
66000000,3,132,43568507
20000000,3,84,15712072
185000000,3,152,533316061
15000000,3,106,35007180
42000000,4,120,24375436
36000000,4,109,26183197
20000000,4,125,5749134
50000000,4,121,50007168
20000000,4,109,19976073
25000000,4,109,66489425
30000000,4,101,34604054
30000000,4,118,10880926
24000000,4,98,23225911
60000000,4,113,45996718
40000000,4,102,14967182
70000000,4,97,19819494
2000000,4,116,3335839
22000000,4,100,19783777
30000000,4,137,66207920
70000000,4,146,77862546
60000000,4,111,32940507
60000000,4,111,32940507
50000000,4,90,81517441
35000000,4,103,7948159
50000000,4,114,26442251
35000000,4,109,10499968
35000000,4,96,183125
17000000,4,88,9286314
20000000,4,109,26415649
86000000,4,111,42877165
55000000,4,94,34238611
33000000,4,140,33682273
8500000,4,119,6047856
20000000,4,115,12626905
45000000,4,160,7916887
5000000,2,107,12200000
23000000,4,98,7434726
13000000,4,107,44726644
26000000,3,133,33200000
100000000,3,87,40198710
60000000,3,103,19781879
75000000,4,110,134568845
75000000,4,135,76081498
25000000,4,101,14095303
50000000,4,115,25121291
35000000,3,101,25863915
60000000,3,130,80033643
110000000,3,101,118311368
85000000,4,115,126149655
35000000,4,101,10268846
66000000,3,113,87704396
160000000,3,121,48068396
35000000,4,118,17609982
16000000,3,97,1686429
23500000,3,104,10696210
100000000,3,117,58607007
100000000,3,117,58607007
70000000,4,91,14294842
20000000,4,96,13630226
80000000,4,138,112225777
32000000,4,119,13763130
27000000,4,101,38122105
30000000,4,106,24048000
105000000,3,114,28772222
22000000,3,108,12232937
76000000,3,107,127083765
27000000,3,88,15988876
25000000,3,94,32003620
125000000,3,132,209805005
190000000,3,140,350034110
18000000,3,90,10494494
90000000,3,127,101643008
42000000,3,102,18600911
35000000,3,91,20275446
20000000,3,107,57744720
85000000,3,104,62494975
38000000,3,106,144512310
60000000,3,111,106126012
60000000,3,107,36279230
40000000,4,99,15279680
30000000,4,125,45645204
50000000,4,108,70450000
75000000,4,123,101087161
12000000,4,93,27829874
20000000,4,111,9525276
7000000,4,104,25625110
40000000,4,101,14942422
35000000,4,121,144731527
140000000,4,127,129734803
10500000,4,105,26589953
40000000,4,99,38105077
29000000,4,102,55845943
25000000,4,115,55973336
30000000,4,94,17120019
65000000,4,102,13750556
80000000,4,99,69772969
8000000,4,138,10269307
55000000,4,132,101530738
45000000,4,107,12026670
40000000,4,93,29113588
15000000,4,108,24984868
30000000,4,96,18967571
100000000,4,106,65452312
25000000,4,103,22466994
150000000,3,102,227946274
1000000,3,112,96734
6000000,3,99,3273588
350000,4,90,4000000
8000000,2,126,90800000
23000000,4,98,50693162
70000000,3,92,55942830
16000000,3,110,13998282
75000000,4,110,83503161
47000000,3,81,10539414
110000000,4,102,106369117
65000000,4,117,210592590
140000000,3,184,198539855
140000000,4,154,111110575
110000000,4,142,113330342
75000000,4,124,78120196
1100000,4,92,1400000
25000000,4,129,121945720
130000000,4,215,107503316
100000000,4,115,101228120
46000000,4,116,58918501
15000000,2,110,176781728
103000000,4,171,187670866
75000000,3,120,140459099
110000000,3,127,85463309
50000000,3,107,20550712
93000000,3,105,176740650
90000000,3,104,47474112
115000000,4,109,93050117
20000000,4,107,1190018
60000000,3,107,82670733
72000000,3,116,32616869
20000000,3,110,24848292
55000000,4,116,18573791
28000000,3,123,30688364
30000000,3,111,40247512
60000000,3,105,50549107
55000000,3,115,74540762
15000000,3,112,42919096
20000000,3,92,18843314
68000000,3,124,118471320
150000000,3,131,73103784
70000000,4,128,39380442
85000000,4,108,40048332
10000000,4,92,3060858
50000000,4,127,67823573
65000000,4,135,32598931
25000000,4,110,10324441
70000000,4,110,47456450
60000000,4,131,18208078
54000000,4,132,70496802
40000000,3,106,59068786
35000000,3,115,14587732
50000000,4,144,52822418
53000000,4,123,91400000
70000000,4,142,43426961
68000000,4,134,85707116
50000000,4,125,48154732
70000000,4,169,216119491
115000000,4,153,40911830
80000000,4,132,10166502
25000000,4,98,1512815
120000000,2,135,43929341
82000000,3,128,36381716
69000000,4,105,37516013
26000000,4,100,40168080
70000000,4,88,62321039
83000000,4,121,66862068
8000000,4,98,16115878
66000000,3,132,59035104
60000000,3,87,29136626
3000000,4,97,7282851
20000000,3,97,23292105
4500000,4,88,44793200
28000000,4,99,33000377
13000000,4,92,21088568
7000000,4,103,9094451
57000000,3,96,51774002
110000000,3,123,115802596
50000000,4,104,10706786
45000000,4,110,70001065
40000000,4,98,54967359
28000000,3,108,10907291
2700000,4,93,3500000
50000000,4,145,55473600
75000000,4,116,47748610
28000000,4,98,8434601
35000000,4,103,30669413
15000000,4,107,59735548
60000000,3,109,80281096
30000000,3,94,18500966
40000000,4,102,41797066
54000000,4,117,81645152
15000000,4,114,15100000
95000000,4,119,73209340
11000000,4,85,12610731
35000000,4,108,60054449
9000000,4,103,71519230
26000000,4,110,58885635
30000000,4,97,82163317
53000000,4,189,25031037
10000000,4,82,6842058
20000000,4,104,20241395
120000000,3,115,144795350
102000000,3,145,132014112
60000000,3,119,53789313
26000000,3,117,12276810
82000000,3,123,34543701
34000000,3,113,102413606
35000000,3,106,28064226
80000000,3,118,101111837
60000000,3,119,121468960
75000000,3,108,176049130
110000000,3,115,227137090
38000000,4,102,7659747
100000000,3,103,67631157
20000000,2,99,5333658
62000000,3,93,25857987
70000000,3,116,83552429
110000000,3,114,61656849
137000000,3,138,132122995
102000000,4,153,204843350
200000000,4,109,150350192
150000000,4,138,281492479
63000000,4,136,171383253
65000000,4,113,119412921
24000000,4,83,10431220
70000000,4,98,18990542
40000000,3,109,37553932
70000000,3,106,17473245
10000000,3,97,21371425
80000000,3,89,38542418
49000000,3,85,43905746
61000000,3,132,81687587
45000000,4,111,36064910
60000000,4,105,73648142
50000000,4,95,20488579
38000000,4,127,41997790
105000000,4,129,54700065
5600000,3,95,7009668
50000000,3,89,47553512
20000000,3,93,3749061
250000000,3,164,448130642
100000000,3,98,81557479
92000000,4,101,67344392
55000000,4,92,9483821
70000000,4,124,117541000
28000000,4,131,81350242
5000000,4,103,27285953
70000000,4,119,98895417
45000000,4,117,83287363
17000000,4,114,30050028
45000000,4,103,2154540
50000000,4,124,41256277
70000000,4,116,40932372
71000000,4,100,11466088
60000000,4,92,50024083
35000000,3,94,13264986
2000000,3,120,1098224
175000000,4,196,133228348
70000000,2,99,101217900
75000000,3,87,183132370
12000000,3,81,63071133
40000000,2,87,20999103
150000000,2,96,114053579
175000000,2,95,356454367
40000000,1,86,22717758
60000000,2,85,26288320
80000000,2,85,145771527
14000000,1,82,25571351
24000000,1,83,100491683
50000000,1,78,58336565
94000000,1,100,380838870
99000000,1,88,130174897
15000000,1,85,12701880
105000000,2,83,90646554
150000000,2,91,126597121
55000000,2,91,55747724
3000000,2,76,13684949
95000000,2,88,161317423
59000000,2,103,176387405
145000000,2,93,216366733
75000000,2,86,193136719
85000000,2,83,84303558
80000000,2,83,155019340
132000000,2,92,83348920
75000000,2,90,160762022
175000000,2,96,292979556
80000000,2,80,100169068
120000000,1,95,162792677
20000000,1,77,7382993
200000000,1,104,268488329
115000000,1,92,289907418
100000000,1,78,89296573
90000000,1,82,245823397
200000000,1,103,414984497
30000000,1,74,191796233
185000000,2,93,237282182
47000000,2,75,15519841
63000000,2,95,108012170
60000000,2,92,55994557
165000000,2,93,238371987
160000000,2,93,320706665
60000000,2,90,267652016
120000000,2,77,64736114
76000000,2,92,26000610
50000000,2,88,28133159
60000000,2,96,50807639
135000000,2,98,187165546
105000000,2,105,71017784
110000000,2,103,142614158
74000000,2,92,162495848
30000000,2,87,85416609
25000000,2,85,39880476
75000000,1,87,133103929
90000000,2,92,85884815
150000000,2,102,400736600
25000000,2,80,39399750
28000000,1,90,217350219
260000000,2,100,200807262
150000000,2,93,436471036
50000000,2,95,50150619
135000000,2,94,177343675
80000000,2,88,90443603
103000000,1,101,131536019
90000000,1,96,143618384
30000000,1,63,26687172
20000000,2,90,25077977
95000000,2,89,50802661
150000000,1,81,135381507
37000000,1,81,30105968
40000000,2,89,57011847
145000000,2,92,111505642
75000000,2,91,128200012
165000000,2,101,189412677
200000000,1,106,191450875
120000000,1,117,244052771
135000000,2,96,83024900
135000000,2,107,123207194
40000000,2,94,511920
50000000,1,94,58297830
55000000,1,84,141600000
45000000,1,73,422783777
12500000,1,69,48092846
80000000,2,87,36073232
20000000,1,72,48423368
165000000,1,100,665426
100000000,2,102,107515297
165000000,2,98,217387997
145000000,2,97,103400692
70000000,2,88,8460990
90000000,1,88,120618403
20000000,1,72,47887943
180000000,1,98,223806889
140000000,2,95,38120554
127500000,2,82,137748063
80000000,1,83,73215310
28000000,4,139,31600000
63000000,3,212,25052000
7000000,2,113,4720371
15000000,4,148,18352454
15000000,4,115,37877959
70000000,3,136,37901509
500000,4,79,30500882
35000000,2,123,10137502
18000000,4,94,18329466
32000000,4,120,36733909
10000000,3,120,5484375
18000000,2,105,8508843
30000000,3,90,108360000
20000000,3,93,39737645
14000000,3,86,9402410
21500000,3,101,22294341
60000000,3,100,43337279
19000000,4,90,35033759
12000000,4,102,38087366
9000000,4,88,18225165
15000000,4,98,61400000
20000000,4,87,6563357
31000000,4,99,58879132
25000000,4,99,59073773
50000000,2,99,16671505
50000000,2,119,51178893
65000000,2,93,82226474
34000000,4,123,66808615
17700000,3,91,27087695
45000000,3,112,38360195
45000000,3,97,93452056
18500000,4,118,10562387
12000000,4,115,17613460
50000000,4,119,24006726
1000000,4,103,9013113
6500000,2,108,24103594
85000000,2,106,64933670
20000000,2,117,67325559
20000000,2,91,94497271
10000000,4,130,30651422
50000000,2,125,127997349
90000000,2,114,58229120
60000000,4,152,32522352
16000000,3,94,45507053
20000000,3,114,3519627
12000000,4,126,71502303
10000000,4,101,6619173
25000000,4,101,876671
85000000,1,100,66941559
15000000,2,88,47811275
15000000,2,88,47811275
60000000,2,94,82569532
18000000,2,120,173585516
15000000,2,91,8080116
13000000,2,89,60008303
15000000,1,103,26161406
150000000,2,115,206456431
112000000,2,85,42776259
70000000,2,142,119654900
150000000,2,105,177243721
127000000,2,98,113733726
37000000,2,96,48006503
109000000,2,82,100446895
58000000,2,103,80021740
80000000,2,93,84185387
24000000,1,87,16290976
17000000,1,73,11634458
50000000,1,101,66002004
45000000,2,86,25200412
17000000,2,94,42672630
45000000,2,103,88625922
90000000,3,98,250147615
32000000,2,95,82301521
26000000,2,90,16647384
60000000,2,90,11802056
35000000,2,100,63939454
15000000,2,98,68856263
50000000,3,95,33422806
49900000,4,102,21557240
20000000,2,93,38037513
23600000,4,88,75590286
10000000,2,90,40485039
84000000,2,86,153288182
19000000,3,95,58156435
19000000,4,129,8396942
13000000,3,84,5002310
40000000,2,108,118500000
19000000,2,116,210609762
45000000,2,102,71423726
22700000,2,96,38119483
3000000,2,100,15369573
25000000,2,119,109713132
50000000,2,109,51019112
100000000,3,102,49392095
40000000,4,109,37371385
40000000,2,118,87666629
2600000,2,91,2850263
55000000,4,122,53574088
20000000,3,96,28876924
14000000,2,107,34793160
10000000,3,108,11703287
21000000,3,99,8855646
38000000,3,129,10300000
8000000,4,89,52287414
25000000,4,111,56692
12000000,2,100,860002
40000000,2,120,81593527
15000000,2,95,20998709
17000000,2,96,82234139
170000000,2,126,73820094
120000000,2,127,124976634
70000000,3,125,66257002
15000000,4,98,1953732
120000000,3,115,292298923
68000000,3,124,300523113
50000000,3,130,296623634
62000000,2,140,172071312
27000000,2,193,21500000
79000000,4,154,95632614
55000000,4,110,38553833
40000000,3,129,31836745
3500000,4,103,236266
90000000,3,143,233630478
34000000,3,114,6543194
40000000,3,106,45500797
11000000,3,102,2807854
35000000,4,127,4426297
13000000,2,104,10996440
100000000,3,146,78616689
165000000,3,169,187991439
108000000,3,151,228430993
69500000,3,171,54222000
78000000,3,142,407999255
8000000,2,130,260000000
8000000,4,126,1997807
30000000,4,108,23070045
50000000,4,119,39778599
135000000,4,156,183635922
75000000,4,153,120523073
22000000,3,236,184208848
38000000,3,110,171031347
44000000,4,325,1500000
25530000,2,95,20047715
20000000,2,111,42652003
200000000,2,108,334185206
170000000,2,113,76846624
215000000,2,130,234903076
150000000,2,111,34964818
90000000,2,106,68558662
180000000,2,150,291709845
155000000,2,113,104383624
90000000,2,107,71148699
180000000,3,113,70083519
24000000,1,118,13000000
20000000,1,88,1064277
2800000,2,102,22202612
16000000,2,98,30857814
55000000,2,90,7871693
500000,1,86,39552600
13000000,2,91,38916903
195000000,3,114,65171860
180000000,3,182,303001229
225000000,3,186,258355354
20000000,4,129,37567440
4000000,4,87,800000
15000000,4,90,26421314
18000000,3,109,4250320
5000000,4,100,14343976
6000000,4,100,7186670
20000000,2,131,102922376
17000000,2,102,2000000
23000000,3,92,20763013
30000000,3,93,14888028
35000000,2,143,82300000
85000000,3,139,150832203
130000000,4,124,126464904
14000000,2,118,800000
14000000,4,108,15483540
160000000,3,137,281666058
90000000,2,114,60874615
110000000,3,119,129995817
63000000,3,127,356784000
130000000,3,146,424645577
125000000,3,123,337103873
132000000,3,116,234277056
3800000,1,152,14873
30000000,1,77,45542421
250000,4,75,203134
8000000,4,90,3442820
5000000,1,77,19421271
69000000,2,87,251501645
30000000,2,86,10134754
150000000,1,111,206435493
35000000,2,80,75367693
80000000,2,89,169692572
85000000,2,91,148313048
75000000,2,88,219613391
60000000,2,92,217326336
32000000,1,75,3562749
10000000,2,74,6491350
85000000,2,107,127706877
75000000,2,91,73661010
78000000,2,95,119793567
39000000,2,87,35287788
100000000,2,108,197992827
110000000,2,76,50026353
23000000,1,82,36696761
100000000,2,90,124870275
76000000,2,98,368049635
100000000,2,85,58867694
75000000,3,93,5409517
21000000,4,81,52008288
200000000,2,96,137850096
40000000,2,77,53337608
100000000,1,91,100117603
8700000,4,100,5480996
60000000,2,100,75280058
80000000,1,74,60507228
2280000,1,120,76400000
2600000,1,88,84300000
2000000,1,83,184925485
105000000,1,97,104374107
20000000,1,68,18081626
100000000,4,240,116866727
3000000,4,113,19184015
60000000,3,124,56443482
48000000,3,132,29781453
18000000,4,127,5887457
23000000,2,94,11508423
75000000,4,102,66636385
28000000,4,130,70235322
35000000,3,125,83299761
50000000,3,115,135014968
1000000,4,95,5997134
13000000,4,121,123922370
20000000,2,124,2000000
60000,4,87,536767
36000000,4,95,2954405
8000000,2,112,36500000
52000000,3,141,164435221
100000000,4,176,130127620
7000000,4,105,2062066
53000000,4,123,62563543
30000000,4,124,52937130
52000000,4,178,42438300
35000000,4,147,41954997
25000000,4,146,46836394
35000000,4,140,24276500
13000000,4,118,1150403
35000000,4,137,37304950
10000000,4,106,1939441
20000000,4,128,44988180
28000000,4,167,161029270
100000000,4,140,97030725
30000000,4,160,3904982
40000000,4,117,30981850
5000000,4,112,2445646
10000000,3,106,14479776
2000000,4,118,11533945
270000,4,90,318622
4500000,4,109,34468224
5000000,4,98,296665
6000000,2,110,102308900
218,6,88,592014
2000000,5,89,653621
500000,4,108,2047570
12000000,2,99,91443253
58000000,3,135,170708996
12500000,3,117,21078145
20000000,3,119,4234040
30000000,3,132,116631310
110000000,3,170,102608827
15000000,3,126,30226144
55000000,3,117,162586036
40000000,3,120,96917897
3300000,4,108,2961991
5000000,4,117,27296514
52000000,4,131,125548685
7000000,4,99,1654367
24000000,4,127,28871190
3500000,4,105,6390032
11000000,4,118,10214647
32000000,4,129,48814909
6000000,4,122,8596914
5000000,4,103,3093491
4000000,4,92,12836
25000000,2,101,51676606
35000000,2,123,59699513
8200000,1,174,163214286
18000000,2,106,43853424
20000000,1,225,8000000
7500000,2,93,31501218
20000000,2,123,13391174
22000000,3,170,59696176
25100000,3,129,25517500
20000000,4,134,56667870
20000000,4,128,31838002
50000000,4,212,13560960
22000000,4,185,96067179
18000000,4,180,51600000
55000000,2,135,49994804
33000000,3,202,48169908
40000000,3,123,15962471
30000000,3,150,12712093
28000000,2,135,64371181
60000000,3,134,37479778
44500000,4,130,136019448
16000000,4,108,9172810
28000000,3,134,5532301
65000000,3,150,182204440
72000000,4,178,75600000
20000000,2,127,35422828
11000000,3,104,352786
30000000,3,139,30513940
6500000,3,108,54215416
40000000,3,178,75305995
12000000,4,109,8134217
20000000,4,135,4001121
10000000,4,106,3571735
23000000,3,118,6144806
20000000,3,125,13337299
40000000,4,134,47034272
38000000,4,140,35183792
28000000,3,153,119518352
40000000,2,107,20113965
31000000,2,161,87100000
7000000,3,103,532988
40000000,3,123,94125426
12000000,4,123,25776062
900000,4,85,16097842
16800000,4,122,220914
39000000,3,110,5881504
8000000,3,106,532190
20000000,2,116,6002756
